method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,realization,channel_kind,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4724304129995289,False,,conventional_s2,290.59173068876976,4358875.960331546,0.9999999996171757,3.3571428560490735,1298388.5843515708,88790624869.309,2.342424413167678e+18,2.342424413167678e+18,2.331452722984954e+18,4.269081189465971e-19,0.09793950719041417,-13.032252185409405,-5.381512149413862,0.03668365452118636,2.068349453959168e-05,64,-20393.301086165717,88374738174.1092,88374738140.2772,4.358875960331546,1.2983885843515708,88790624869.309,2.342424413167678e+18,2.331452722984954e+18,2.342424413167678e+18,0.46839036175715903,20393.301086165717,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-0.004683903958781101,True,False,True,-13.256466474732292,-13.256466464571021,-13.032252185409405,-13.032252185409405,-0.22421428932288734,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,0,natural_tdl,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4830517369991867,False,,exact_efim,290.5084382942972,4357626.574414458,0.9999999998180682,3.357142856623052,1298016.426622307,88860493415.80864,2.3442676459332337e+18,2.3442676459332337e+18,2.342424412681359e+18,4.265724529085962e-19,0.09790099605699475,-13.033119878049638,-5.367766233033031,0.03366847325166808,1.9935471327235302e-05,64,-8358.74182795915,88790624867.02872,88790624850.87488,4.357626574414458,1.2980164266223069,88860493415.80864,2.3442676459332337e+18,2.342424412681359e+18,2.3442676459332337e+18,0.07862725295349286,8358.74182795915,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-5.504287986029032e-10,False,False,True,-13.256466474732292,-13.25646647130612,-13.033119878049638,-13.033119878049638,-0.22334659668265466,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,0,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.48812129799989634,False,,exact_efim,290.5084382942972,4357626.574414458,0.9999999998180682,3.357142856623052,1298016.426622307,88860493415.80864,2.3442676459332337e+18,2.3442676459332337e+18,2.342424412681359e+18,4.265724529085962e-19,0.09790099605699475,-13.033119878049638,-5.367766233033031,0.03366847325166808,1.9935471327235302e-05,64,-8358.74182795915,88790624867.02872,88790624850.87488,4.357626574414458,1.2980164266223069,88860493415.80864,2.3442676459332337e+18,2.342424412681359e+18,2.3442676459332337e+18,0.07862725295349286,8358.74182795915,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-5.504287986029032e-10,False,False,True,-13.256466474732292,-13.25646647130612,-13.033119878049638,-13.033119878049638,-0.22334659668265466,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,0,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.370907973847025,-0.22334659668265466,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.48812129799989634,0.0,249.0,-13.033119878049638,-13.25646647130612,,0.0
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.5126790559988876,False,,conventional_s2,299.6247263546285,4494370.895319427,0.9999999994602693,3.3571428556007694,1338748.777944139,88790624857.9763,2.3424244128687053e+18,2.3424244128687053e+18,2.3424181768633436e+18,4.2690811900108505e-19,0.09793950719666436,-13.023504045426598,-5.416006266840779,0.03329735098737591,1.9150108039495503e-05,64,486.1877402192725,88790388527.38058,88790388479.45769,4.4943708953194275,1.338748777944139,88790624857.9763,2.3424244128687053e+18,2.3424181768633436e+18,2.3424244128687053e+18,0.0002662201319028659,486.1877402192725,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-2.662671766861983e-06,True,False,True,-13.256466474732292,-13.256466474987523,-13.023504045426598,-13.023504045426598,-0.23296242930569377,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,1,natural_tdl,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4997538169991458,False,,exact_efim,299.62467509527517,4494370.1264291275,0.9999999994923776,3.3571428556925076,1338748.548876403,88790668583.30145,2.342425566405683e+18,2.342425566405683e+18,2.342424410212268e+18,4.2690790876844904e-19,0.09793948308130747,-13.02349459338803,-5.4159742785268685,0.033251555099220106,1.914992187396801e-05,64,209.34664696487022,88790624802.355,88790624757.28288,4.494370126429128,1.3387485488764028,88790668583.30145,2.342425566405683e+18,2.342424410212268e+18,2.342425566405683e+18,4.935881130012221e-05,209.34664696487022,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.6045037140084287e-09,False,False,True,-13.256466474732292,-13.256466465360258,-13.02349459338803,-13.02349459338803,-0.2329718813442625,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,1,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.5100603930004581,False,,exact_efim,299.62467509527517,4494370.1264291275,0.9999999994923776,3.3571428556925076,1338748.548876403,88790668583.30145,2.342425566405683e+18,2.342425566405683e+18,2.342424410212268e+18,4.2690790876844904e-19,0.09793948308130747,-13.02349459338803,-5.4159742785268685,0.033251555099220106,1.914992187396801e-05,64,209.34664696487022,88790624802.355,88790624757.28288,4.494370126429128,1.3387485488764028,88790668583.30145,2.342425566405683e+18,2.342424410212268e+18,2.342425566405683e+18,4.935881130012221e-05,209.34664696487022,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.6045037140084287e-09,False,False,True,-13.256466474732292,-13.256466465360258,-13.02349459338803,-13.02349459338803,-0.2329718813442625,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,1,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.418822347857307,-0.2329718813442625,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.5100603930004581,0.0,249.0,-13.02349459338803,-13.256466465360258,,0.0
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4490519110004243,False,,conventional_s2,291.49353283918657,4372402.992587798,0.9999999994534413,3.357142855581261,1302417.9132915551,88790624855.99376,2.342424412816403e+18,2.342424412816403e+18,2.3374854173411533e+18,4.269081190106172e-19,0.09793950719775778,-13.04301150238786,-5.343091746207909,0.03589609267570948,2.0794170442444607e-05,64,13682.645579261874,88603410114.47534,88603410066.04839,4.372402992587798,1.3024179132915552,88790624855.99376,2.342424412816403e+18,2.3374854173411533e+18,2.342424412816403e+18,0.21084972681407832,13682.645579261874,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-0.0021084977598791414,True,False,True,-13.256466474732292,-13.256466455540455,-13.04301150238786,-13.04301150238786,-0.213454972344433,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,2,natural_tdl,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.48079791300187935,False,,exact_efim,291.4538783863212,4371808.175794818,0.9999999995570604,3.3571428558773158,1302240.7337063833,88823581759.49057,2.3432938633405655e+18,2.3432938633405655e+18,2.3424244105422336e+18,4.267497199751185e-19,0.0979213358839794,-13.035978576268532,-5.3268631287541455,0.03386326766994016,2.0528219524125038e-05,64,5740.817861140001,88790624809.11928,88790624769.79039,4.371808175794818,1.3022407337063833,88823581759.49057,2.3432938633405655e+18,2.3424244105422336e+18,2.3432938633405655e+18,0.037103873821972326,5740.817861140001,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.463638734104694e-09,False,False,True,-13.256466474732292,-13.256466464100074,-13.035978576268532,-13.035978576268532,-0.2204878984637606,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,2,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.49184148499989533,False,,exact_efim,291.4538783863212,4371808.175794818,0.9999999995570604,3.3571428558773158,1302240.7337063833,88823581759.49057,2.3432938633405655e+18,2.3432938633405655e+18,2.3424244105422336e+18,4.267497199751185e-19,0.0979213358839794,-13.035978576268532,-5.3268631287541455,0.03386326766994016,2.0528219524125038e-05,64,5740.817861140001,88790624809.11928,88790624769.79039,4.371808175794818,1.3022407337063833,88823581759.49057,2.3432938633405655e+18,2.3424244105422336e+18,2.3432938633405655e+18,0.037103873821972326,5740.817861140001,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.463638734104694e-09,False,False,True,-13.256466474732292,-13.256466464100074,-13.035978576268532,-13.035978576268532,-0.2204878984637606,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,2,natural_tdl,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.330061920260743,-0.2204878984637606,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.49184148499989533,0.0,249.0,-13.035978576268532,-13.256466464100074,,0.0
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.49217733800105634,False,,conventional_s2,179.02666027129254,2685399.9040693883,0.9999999997132384,3.3571428563235384,799906.3545988667,88790624874.4913,2.342424413304394e+18,2.342424413304394e+18,2.33585196987093e+18,4.269081189216805e-19,0.09793950718755602,-13.031720242973652,-5.390774354234436,0.03578144817020879,2.0160054664267216e-05,64,15783.895316858136,88541493548.57951,88541493523.18921,2.685399904069388,0.7999063545988666,88790624874.4913,2.342424413304395e+18,2.33585196987093e+18,2.342424413304394e+18,0.2805829462899404,15783.895316858136,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-0.0028058297465512172,True,False,True,-13.256466474732292,-13.256466465411323,-13.031720242973652,-13.031720242973652,-0.2247462317586404,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249,1.0416666666666667e-06,3,natural_tdl,,,,,,,,,,,,,,,,,,,,,
