method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,channel_kind,water_level_w,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,total_solve_time_s
uniform,Uniform,ok,ok,1.4919001841917634e-05,False,,none,440.17766847149267,6602665.02707239,1.0,3.357142857142857,1966751.2846598607,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,6.60266502707239,1.9667512846598607,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.00017265100177610293,False,,none,440.17874037325004,6602681.1055987505,0.9999999999997841,3.3571428571422404,1966756.0740084997,76637285732.93742,2.0218018436515215e+18,2.0218018436515215e+18,2.021763133537702e+18,4.946083134408104e-19,0.10541961192672018,-13.296777437181289,-9.731253294127214,0.015689662698509466,5.799579484216423e-09,64,1211.331434520925,76635818409.10973,76635818409.09317,6.602681105598751,1.9667560740084997,76637285732.93742,2.0218018436515218e+18,2.021763133537702e+18,2.0218018436515215e+18,0.0019146344109437902,1211.331434520925,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.1368929040017281,False,False,True,-13.256466474732292,-13.492353960656164,-13.296777437181289,-13.296777437181289,0.04031096244899679,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,0.015774519975138786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.008280650999950012,False,,conventional_s2,438.851601256204,6582774.018843059,0.9999999994667033,3.3571428556191525,1960826.3043751258,88790624913.10529,2.342424414323087e+18,2.342424414323087e+18,2.342385717673787e+18,4.269081187360232e-19,0.09793950716625965,-10.540207808325938,-6.2359971012713515,0.022819583379723396,7.647555076587856e-06,64,1211.1207481183992,88789158146.99051,88789158099.63954,6.582774018843059,1.9608263043751257,88790624913.10529,2.342424414323087e+18,2.342385717673787e+18,2.342424414323087e+18,0.0016519913754036988,1211.1207481183992,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-1.6519763318308757e-05,True,False,True,-13.256466474732292,-11.006394054189784,-10.532907441294011,-10.532907441294011,-2.7235590334382813,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.4913738449977245,False,,conventional_s2,437.5656882327018,6563485.323490527,0.9999999995822046,3.3571428559491565,1955080.7353519218,88790624876.19827,2.3424244133494267e+18,2.3424244133494267e+18,2.3423846829774377e+18,4.269081189134733e-19,0.0979395071866146,-13.023403235576982,-5.413441416099822,0.033483386186609156,1.9188028970063917e-05,64,1227.1907668902384,88789118916.11626,88789118879.02057,6.563485323490528,1.9550807353519217,88790624876.19827,2.3424244133494267e+18,2.3423846829774377e+18,2.3424244133494267e+18,0.0016961218369553127,1227.1907668902384,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-1.696148359026838e-05,True,False,True,-13.256466474732292,-13.256466476576135,-13.023403235576982,-13.023403235576982,-0.23306323915531024,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.00950939199901768,False,,exact_efim,438.85139301409197,6582770.89521138,0.9999999995670859,3.35714285590596,1960825.3737641291,88791285736.13339,2.3424418477851904e+18,2.3424418477851904e+18,2.342424413394948e+18,4.2690494150175517e-19,0.09793914271156358,-10.540088649648244,-6.235884892086547,0.022761584227326985,7.645821110716998e-06,64,812.9318605529559,88790624916.3625,88790624877.92378,6.58277089521138,1.960825373764129,88791285736.13339,2.3424418477851904e+18,2.342424413394948e+18,2.3424418477851904e+18,0.000744282734650956,812.9318605529559,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-2.4579175514314055e-10,False,False,True,-13.256466474732292,-11.006244983463356,-10.532779044057278,-10.532779044057278,-2.723687430675014,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,,,,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.46131008800148265,False,,exact_efim,437.56534688636566,6563480.203295485,0.9999999994739706,3.357142855639916,1955079.210367531,88790902600.97977,2.3424317401286815e+18,2.3424317401286815e+18,2.3424244112446776e+18,4.269067836081597e-19,0.09793935401636457,-13.023416917891048,-5.413339588890155,0.03333441111115376,1.9186118423382912e-05,64,527.0716868332032,88790624843.12334,88790624796.41685,6.5634802032954855,1.955079210367531,88790902600.97977,2.3424317401286815e+18,2.3424244112446776e+18,2.3424317401286815e+18,0.0003128750297516626,527.0716868332032,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.1637596738411138e-09,False,False,True,-13.256466474732292,-13.256466480845253,-13.023416917891048,-13.023416917891048,-0.2330495568412445,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.4922723780000524,False,,exact_efim,437.56534688636566,6563480.203295485,0.9999999994739706,3.357142855639916,1955079.210367531,88790902600.97977,2.3424317401286815e+18,2.3424317401286815e+18,2.3424244112446776e+18,4.269067836081597e-19,0.09793935401636457,-13.023416917891048,-5.413339588890155,0.03333441111115376,1.9186118423382912e-05,64,527.0716868332032,88790624843.12334,88790624796.41685,6.5634802032954855,1.955079210367531,88790902600.97977,2.3424317401286815e+18,2.3424244112446776e+18,2.3424317401286815e+18,0.0003128750297516626,527.0716868332032,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.1637596738411138e-09,False,False,True,-13.256466474732292,-13.256466480845253,-13.023416917891048,-13.023416917891048,-0.2330495568412445,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-5.416186375481353,-0.2330495568412445,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.4922723780000524,0.0,249.0,-13.023416917891048,-13.256466480845253,,0.0,,,,,
exact_efim_cutting_plane_psl_ee,Exact EFIM+cutting-plane PSL+EE,ok,optimal,1.620694024997647,False,,exact_efim,422.201151780954,6333017.27671431,0.9184867966704038,3.124247990486868,2027053.3248314268,88790658446.15152,2.342425298973085e+18,2.342425298973085e+18,2.3424244115616896e+18,4.2690795750814255e-19,0.09793948867213884,-13.033223981254874,-0.5720645118669341,0.062499999848144444,0.00010453012694568883,64,191.37129920565133,96670551095.89731,88790624808.4333,6.33301727671431,2.0270533248314266,88790658446.15152,2.342425298973085e+18,2.3424244115616896e+18,2.342425298973085e+18,3.7884298635821576e-05,191.37129920565133,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.0284246909450698e-09,False,False,True,-13.256466474732292,-13.256466464199978,-13.033223981254874,-13.033223981254874,-0.22324249347741798,True,0.25,4,32,-2.2786458333333335e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,251.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-0.5756726220849789,-0.22324249347741798,249.0,1985.0,2.0,251.0,True,2.0,dense_psl_satisfied,False,1.620694024997647,2.0,251.0,-12.986107558488943,-13.256466460752774,-3.2877604166666667e-06,1.0,4.0,True,2027053.3245984677,0.0007278220728039742,0.7816602819984837
uniform,Uniform,ok,ok,1.443899964215234e-05,False,,none,359.4791719052407,5392187.578578611,1.0,3.357142857142857,1606183.5340446925,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,5.392187578578611,1.6061835340446926,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,1,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.0001732320015435107,False,,none,359.4797749309323,5392196.623963985,0.9999999999992388,3.3571428571406825,1606186.2284158443,76703465959.02817,2.0235477732188844e+18,2.0235477732188844e+18,2.0235336894928768e+18,4.941815623207584e-19,0.10537412376528131,-13.302976320969684,-9.7120294808251,0.01568556739019833,3.3305143008602795e-09,64,-730.6502665721277,76702932109.2745,76702932109.21613,5.392196623963985,1.6061862284158444,76703465959.02817,2.0235477732188844e+18,2.0235336894928768e+18,2.0235477732188844e+18,0.0006959917721709544,730.6502665721277,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13613703928967383,False,False,True,-13.256466474732292,-13.503465822628936,-13.302976320969684,-13.302976320969684,0.04650984623739163,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,1,natural_tdl,0.015954867208188287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
