method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,sensing_model,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,map_role,realization,classification,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4666109009995125,False,,exact_efim,285.46626571542345,4281993.985731352,0.9999999998498592,3.3571428567138835,1275487.5703808307,65780419211.85864,1.7353820867581537e+18,1.7353820867581537e+18,1.6798215792312955e+18,5.762419743931366e-19,0.11378713225705271,-13.821952356642539,-10.755274727524016,0.01739215220389097,1.8392664123991027e-05,64.0,45891.670370037944,63674373812.382744,63674373802.822624,4.2819939857313525,1.2754875703808306,65780419211.85864,1.7353820867581532e+18,1.6798215792312955e+18,1.7353820867581537e+18,3.201629655556152,45891.670370037944,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7928236757742289,False,False,True,0.0,-14.003054258444443,-13.821952356642539,-13.821952356642539,13.821952356642539,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,0.0,1.0,249.0,1.0416666666666667e-06,sampled_only,0,physically_feasible,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.49774181799875805,False,,exact_efim,285.46626571542345,4281993.985731352,0.9999999998498592,3.3571428567138835,1275487.5703808307,65780419211.85864,1.7353820867581537e+18,1.7353820867581537e+18,1.6798215792312955e+18,5.762419743931366e-19,0.11378713225705271,-13.821952356642539,-10.755274727524016,0.01739215220389097,1.8392664123991027e-05,64.0,45891.670370037944,63674373812.382744,63674373802.822624,4.2819939857313525,1.2754875703808306,65780419211.85864,1.7353820867581532e+18,1.6798215792312955e+18,1.7353820867581537e+18,3.201629655556152,45891.670370037944,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7928236757742289,False,False,True,0.0,-14.003054258444443,-13.821952356642539,-13.821952356642539,13.821952356642539,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,0.0,1.0,249.0,1.0416666666666667e-06,cutting_plane,0,physically_feasible,-10.78016070383238,13.821952356642539,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.49774181799875805,0.0,249.0,-13.821952356642539,-14.003054258444443,,0.0
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.5068089960004727,False,,exact_efim,285.46626570360166,4281993.985554025,0.9999999997283463,3.357142856366704,1275487.5704599144,65780439200.89223,1.7353826140976143e+18,1.7353826140976143e+18,1.6798219011881728e+18,5.762417992875838e-19,0.11378711496851673,-13.821960901143662,-10.755277069967104,0.01739216648901377,1.8392634490826726e-05,64.0,45891.75519333559,63674386024.03669,63674386006.7393,4.281993985554025,1.2754875704599145,65780439200.89223,1.7353826140976143e+18,1.6798219011881728e+18,1.7353826140976143e+18,3.2016405176637477,45891.75519333559,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7928240193892409,False,False,True,-6.0,-14.00306115137978,-13.821960901143662,-13.821960901143662,7.821960901143662,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-6.0,0.5011872336272722,249.0,1.0416666666666667e-06,sampled_only,0,physically_feasible,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.5123382659985509,False,,exact_efim,285.46626570360166,4281993.985554025,0.9999999997283463,3.357142856366704,1275487.5704599144,65780439200.89223,1.7353826140976143e+18,1.7353826140976143e+18,1.6798219011881728e+18,5.762417992875838e-19,0.11378711496851673,-13.821960901143662,-10.755277069967104,0.01739216648901377,1.8392634490826726e-05,64.0,45891.75519333559,63674386024.03669,63674386006.7393,4.281993985554025,1.2754875704599145,65780439200.89223,1.7353826140976143e+18,1.6798219011881728e+18,1.7353826140976143e+18,3.2016405176637477,45891.75519333559,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7928240193892409,False,False,True,-6.0,-14.00306115137978,-13.821960901143662,-13.821960901143662,7.821960901143662,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-6.0,0.5011872336272722,249.0,1.0416666666666667e-06,cutting_plane,0,physically_feasible,-10.780163062603744,7.821960901143662,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.5123382659985509,0.0,249.0,-13.821960901143662,-14.00306115137978,,0.0
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.5027890970013686,False,,exact_efim,285.46626570817654,4281993.985622648,0.9999999997680148,3.3571428564800425,1275487.5704372944,65780411127.66262,1.735381873485433e+18,1.735381873485433e+18,1.6798214000704397e+18,5.762420452113787e-19,0.11378713924908451,-13.821953688352561,-10.755276024152515,0.017392151437348135,1.839267200273073e-05,64.0,45891.65628411546,63674367026.42331,63674367011.651794,4.281993985622648,1.2754875704372943,65780411127.66262,1.7353818734854326e+18,1.6798214000704397e+18,1.735381873485433e+18,3.2016280833568236,45891.65628411546,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.792823484561169,False,False,True,-10.0,-14.00305590185,-13.821953688352561,-13.821953688352561,3.8219536883525613,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-10.0,0.31622776601683794,249.0,1.0416666666666667e-06,sampled_only,0,physically_feasible,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.5081868279994524,False,,exact_efim,285.46626570817654,4281993.985622648,0.9999999997680148,3.3571428564800425,1275487.5704372944,65780411127.66262,1.735381873485433e+18,1.735381873485433e+18,1.6798214000704397e+18,5.762420452113787e-19,0.11378713924908451,-13.821953688352561,-10.755276024152515,0.017392151437348135,1.839267200273073e-05,64.0,45891.65628411546,63674367026.42331,63674367011.651794,4.281993985622648,1.2754875704372943,65780411127.66262,1.7353818734854326e+18,1.6798214000704397e+18,1.735381873485433e+18,3.2016280833568236,45891.65628411546,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.792823484561169,False,False,True,-10.0,-14.00305590185,-13.821953688352561,-13.821953688352561,3.8219536883525613,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-10.0,0.31622776601683794,249.0,1.0416666666666667e-06,cutting_plane,0,physically_feasible,-10.780162031766299,3.8219536883525613,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.5081868279994524,0.0,249.0,-13.821953688352561,-14.00305590185,,0.0
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4564036470001156,False,,exact_efim,285.46626570871723,4281993.985630758,0.9999999997729785,3.3571428564942245,1275487.5704343219,65780416959.55197,1.7353820273390633e+18,1.7353820273390633e+18,1.6798214996356252e+18,5.762419941235322e-19,0.11378713420507561,-13.821951692767913,-10.755273758093002,0.017392151785317746,1.8392674006307583e-05,64.0,45891.6787044911,63674370800.1693,63674370785.713844,4.281993985630758,1.2754875704343218,65780416959.55197,1.7353820273390633e+18,1.6798214996356252e+18,1.7353820273390633e+18,3.2016309278384916,45891.6787044911,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7928235908241341,False,False,True,-13.0,-14.003053760920976,-13.821951692767913,-13.821951692767913,0.8219516927679127,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-13.0,0.22387211385683395,249.0,1.0416666666666667e-06,sampled_only,0,physically_feasible,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.4952068769998732,False,,exact_efim,285.46626570871723,4281993.985630758,0.9999999997729785,3.3571428564942245,1275487.5704343219,65780416959.55197,1.7353820273390633e+18,1.7353820273390633e+18,1.6798214996356252e+18,5.762419941235322e-19,0.11378713420507561,-13.821951692767913,-10.755273758093002,0.017392151785317746,1.8392674006307583e-05,64.0,45891.6787044911,63674370800.1693,63674370785.713844,4.281993985630758,1.2754875704343218,65780416959.55197,1.7353820273390633e+18,1.6798214996356252e+18,1.7353820273390633e+18,3.2016309278384916,45891.6787044911,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7928235908241341,False,False,True,-13.0,-14.003053760920976,-13.821951692767913,-13.821951692767913,0.8219516927679127,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-13.0,0.22387211385683395,249.0,1.0416666666666667e-06,cutting_plane,0,physically_feasible,-10.780159735395658,0.8219516927679127,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.4952068769998732,0.0,249.0,-13.821951692767913,-14.003053760920976,,0.0
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.5059395210009825,False,,exact_efim,285.42985368774464,4281447.80531617,0.9999999997010744,3.3571428562887844,1275324.878503733,64423983035.98445,1.6995973491470794e+18,1.6995973491470794e+18,1.643990954803786e+18,5.883746526798462e-19,0.11497877696921811,-14.772182826166473,-11.355526560925245,0.018307550144187962,1.8988575825228376e-05,64.0,45910.6171769777,62316198285.671425,62316198267.04352,4.281447805316169,1.275324878503733,64423983035.98445,1.6995973491470794e+18,1.643990954803786e+18,1.6995973491470794e+18,3.2717392958513836,45910.6171769777,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7545827145997632,False,False,True,-15.0,-15.000000034584115,-14.772182826166473,-14.772182826166473,-0.22781717383352706,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-15.0,0.1778279410038923,249.0,1.0416666666666667e-06,sampled_only,0,physically_feasible,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.5133112699986668,False,,exact_efim,285.42985368774464,4281447.80531617,0.9999999997010744,3.3571428562887844,1275324.878503733,64423983035.98445,1.6995973491470794e+18,1.6995973491470794e+18,1.643990954803786e+18,5.883746526798462e-19,0.11497877696921811,-14.772182826166473,-11.355526560925245,0.018307550144187962,1.8988575825228376e-05,64.0,45910.6171769777,62316198285.671425,62316198267.04352,4.281447805316169,1.275324878503733,64423983035.98445,1.6995973491470794e+18,1.643990954803786e+18,1.6995973491470794e+18,3.2717392958513836,45910.6171769777,9.369697655882788e+17,35516249959.89912,26381438.54281344,4.684848827941393e+18,177581250000.0,0.2,0.15485595779153002,True,True,True,True,0.7545827145997632,False,False,True,-15.0,-15.000000034584115,-14.772182826166473,-14.772182826166473,-0.22781717383352706,True,0.25,4.0,32.0,-1.6276041666666668e-06,1.0416666666666667e-06,unknown_amplitude_exact,9.369697655882788e+17,35516249959.89912,quad_over_lin,1e-12,-15.0,0.1778279410038923,249.0,1.0416666666666667e-06,cutting_plane,0,physically_feasible,-11.392670375718508,-0.22781717383352706,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.5133112699986668,0.0,249.0,-14.772182826166473,-15.000000034584115,,0.0
