method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,channel_kind,water_level_w,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays,dinkelbach_iterations,dinkelbach_converged,dinkelbach_q_final_bit_per_j,dinkelbach_final_residual_bps,total_solve_time_s
uniform,Uniform,ok,ok,1.4828998246230185e-05,False,,none,367.64816154584355,5514722.4231876535,1.0,3.357142857142857,1642683.274992067,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64.0,0.0,76781250000.0,76781250000.0,5.514722423187654,1.642683274992067,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,False,True,True,True,1.882483373542819,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.00020853599926340394,False,,none,367.6496242631549,5514744.3639473235,0.9999999999999651,3.3571428571427577,1642689.8105375492,76431898170.3385,2.01638342429136e+18,2.01638342429136e+18,2.016371511849252e+18,4.959374233853569e-19,0.1055611585287154,-13.35162836997447,-9.798478062807934,0.01572682143907578,8.06248975354477e-09,64.0,-671.971981127014,76431446623.99776,76431446623.99509,5.514744363947323,1.6426898105375491,76431898170.3385,2.01638342429136e+18,2.016371511849252e+18,2.01638342429136e+18,0.000590782584522114,671.971981127014,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,False,True,True,True,1.8693512297532442,False,False,True,-13.256466474732292,-13.539943796024541,-13.35162836997447,-13.35162836997447,0.09516189524217822,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,0.015934431765996297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007534072999987984,False,,conventional_s2,367.6496242148917,5514744.363223375,0.9999999994977945,3.3571428557079845,1642689.8110239564,76431990316.36989,2.016385855236224e+18,2.016385855236224e+18,2.016373944409546e+18,4.959368254856399e-19,0.10556109489668959,-13.351584418395605,-9.798445846120472,0.015726964705276347,8.059161262410454e-09,64.0,-671.9264171473841,76431538869.6444,76431538831.26006,5.514744363223375,1.6426898110239565,76431990316.36989,2.016385855236224e+18,2.016373944409546e+18,2.016385855236224e+18,0.0005907017571604925,671.9264171473841,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,True,True,True,True,1.869354691352374,False,False,True,-13.256466474732292,-13.539901466506162,-13.351584418395605,-13.351584418395605,0.09511794366331294,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,26637187469.92433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.46825730800264864,False,,conventional_s2,367.6496242381059,5514744.363571589,0.9999999997247545,3.357142856356442,1642689.810810382,76431911951.654,2.0163837878622881e+18,2.0163837878622881e+18,2.0163718766279375e+18,4.959373339636752e-19,0.10556114901193334,-13.351619660763475,-9.798473187189593,0.015726818147927396,8.061707229785863e-09,64.0,-671.9379160030661,76431460472.12859,76431460451.09117,5.514744363571589,1.642689810810382,76431911951.654,2.0163837878622881e+18,2.0163718766279375e+18,2.0163837878622881e+18,0.0005907225808049145,671.9379160030661,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,True,True,True,True,1.8693517488431854,False,False,True,-13.256466474732292,-13.539934870672415,-13.351619660763475,-13.351619660763475,0.09515318603118317,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,26637187469.92433,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.009185532002447871,False,,exact_efim,367.64962417485526,5514744.362622829,0.9999999990406134,3.357142854401753,1642689.811484225,76431886126.13243,2.016383106547878e+18,2.016383106547878e+18,2.0163711816392548e+18,4.959375015356267e-19,0.1055611668459267,-13.351650986896967,-9.798483758386626,0.015726830988659297,8.065118038030619e-09,64.0,-672.3235029080643,76431434180.56758,76431434107.2403,5.514744362622829,1.642689811484225,76431886126.13243,2.016383106547878e+18,2.0163711816392548e+18,2.016383106547878e+18,0.0005914009388582848,672.3235029080643,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,True,True,True,True,1.8693507598554815,False,False,True,-13.256466474732292,-13.539968039335118,-13.351650986896967,-13.351650986896967,0.09518451216467483,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,,,,,7.02727324191209e+17,26637187469.92433,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4771337929996662,False,,exact_efim,367.6496242401839,5514744.363602759,0.9999999997475626,3.3571428564216075,1642689.8107877804,76431914593.59962,2.0163838575606144e+18,2.0163838575606144e+18,2.0163719458216637e+18,4.959373168211049e-19,0.10556114718751992,-13.351630557791186,-9.798473426608556,0.015726813683590173,8.061875590917567e-09,64.0,-671.9521486248119,76431463093.20386,76431463073.9097,5.514744363602759,1.6426898107877805,76431914593.59962,2.0163838575606141e+18,2.0163719458216637e+18,2.0163838575606144e+18,0.000590747585386178,671.9521486248119,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,True,True,True,True,1.8693518473077304,False,False,True,-13.256466474732292,-13.539947079211698,-13.351630557791186,-13.351630557791186,0.09516408305889357,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,7.02727324191209e+17,26637187469.92433,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.4833804310001142,False,,exact_efim,367.6496242401839,5514744.363602759,0.9999999997475626,3.3571428564216075,1642689.8107877804,76431914593.59962,2.0163838575606144e+18,2.0163838575606144e+18,2.0163719458216637e+18,4.959373168211049e-19,0.10556114718751992,-13.351630557791186,-9.798473426608556,0.015726813683590173,8.061875590917567e-09,64.0,-671.9521486248119,76431463093.20386,76431463073.9097,5.514744363602759,1.6426898107877805,76431914593.59962,2.0163838575606141e+18,2.0163719458216637e+18,2.0163838575606144e+18,0.000590747585386178,671.9521486248119,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,True,True,True,True,1.8693518473077304,False,False,True,-13.256466474732292,-13.539947079211698,-13.351630557791186,-13.351630557791186,0.09516408305889357,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,7.02727324191209e+17,26637187469.92433,quad_over_lin,1e-12,-9.798642901177963,0.09516408305889357,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.4833804310001142,0.0,249.0,-13.351630557791186,-13.539947079211698,,0.0,,,,,
exact_efim_cutting_plane_psl_ee,Exact EFIM+cutting-plane PSL+EE,ok,optimal,0.8738079100003233,False,,exact_efim,251.95367668661743,3779305.1502992613,0.2874814155521913,1.321375473006261,2860129.635750666,26637367677.32071,7.027320783215616e+17,7.027320783215616e+17,7.027273228056787e+17,1.423017435590029e-18,0.17881165298081975,-13.239391813554906,-3.221212557652284,0.014470381333278952,4.259146738260637e-06,64.0,-791.8532330997948,92657076166.96114,26637187417.405197,3.7793051502992614,2.8601296357506656,26637367677.32071,7.027320783215615e+17,7.027273228056787e+17,7.027320783215616e+17,0.000676718201656355,791.8532330997948,7.02727324191209e+17,26637187469.92433,26381438.54281344,4.684848827941393e+18,177581250000.0,0.15,0.17881225783311439,True,True,True,True,-1.9716470276641802e-09,False,False,True,-13.256466474732292,-13.256466446693391,-13.191469776217875,-13.191469776217875,-0.0649966985144168,True,0.25,4.0,32.0,-1.3346354166666666e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,7.02727324191209e+17,26637187469.92433,quad_over_lin,1e-12,-3.224595618142782,-0.0649966985144168,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.8738079100003233,0.0,249.0,-13.191469776217875,-13.256466446693391,,0.0,5.0,True,2860129.6353746974,0.000496795866638422,0.8271086860040668
uniform,Uniform,ok,ok,1.5494999388465658e-05,False,,none,367.64816154584355,5514722.4231876535,1.0,3.357142857142857,1642683.274992067,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64.0,0.0,76781250000.0,76781250000.0,5.514722423187654,1.642683274992067,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,1.1712122069853484e+18,44395312449.873886,26381438.54281344,4.684848827941393e+18,177581250000.0,0.25,0.13850737933707974,False,True,True,True,0.7294900241256913,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.00020584800222422928,False,,none,367.6496242631549,5514744.3639473235,0.9999999999999651,3.3571428571427577,1642689.8105375492,76431898170.3385,2.01638342429136e+18,2.01638342429136e+18,2.016371511849252e+18,4.959374233853569e-19,0.1055611585287154,-13.35162836997447,-9.798478062807934,0.01572682143907578,8.06248975354477e-09,64.0,-671.971981127014,76431446623.99776,76431446623.99509,5.514744363947323,1.6426898105375491,76431898170.3385,2.01638342429136e+18,2.016371511849252e+18,2.01638342429136e+18,0.000590782584522114,671.971981127014,1.1712122069853484e+18,44395312449.873886,26381438.54281344,4.684848827941393e+18,177581250000.0,0.25,0.13850737933707974,False,True,True,True,0.7216107378519464,False,False,True,-13.256466474732292,-13.539943796024541,-13.35162836997447,-13.35162836997447,0.09516189524217822,True,0.25,4.0,32.0,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,0.015934431765996297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
