method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,channel_kind,water_level_w,sensing_model,min_sensing_surrogate,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays
uniform,Uniform,ok,ok,1.4815999747952446e-05,False,,none,162.49017756326717,2437352.6634490076,1.0,3.357142857142857,726019.9423039596,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,2.4373526634490075,0.7260199423039596,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,0,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.0002250500001537148,False,,none,166.94449202651796,2504167.3803977696,0.9999999999995635,3.35714285714161,745922.198416634,88553362031.24062,2.336165078186684e+18,2.336165078186684e+18,2.2730354809658383e+18,4.2805194262050757e-19,0.0980706250870433,-8.906091573766492,-4.575254428213406,0.02040278231959469,4.356163576095624e-05,58,48917.84003833612,86160406957.26303,86160406957.22542,2.5041673803977695,0.745922198416634,88553362031.24062,2.3361650781866834e+18,2.2730354809658383e+18,2.336165078186684e+18,2.702274672723314,48917.84003833612,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.02962269885466042,False,False,True,-13.256466474732292,-9.104713556597146,-8.897024318768436,-8.897024318768436,-4.3594421559638565,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,natural_tdl,0.02155686917782476,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007655972000065958,False,,conventional_s2,166.94418576280717,2504162.7864421075,0.9999999971342215,3.357142848954919,745920.8318233034,88790627402.68701,2.342424480001834e+18,2.342424480001834e+18,2.2794127828029745e+18,4.269081067660363e-19,0.09793950579320704,-8.869029665202087,-4.539884176797146,0.02052034633515695,4.3738372921103144e-05,64,48872.13959722522,86402141628.33063,86402141380.72122,2.5041627864421074,0.7459208318233034,88790627402.68701,2.342424480001834e+18,2.2794127828029745e+18,2.342424480001834e+18,2.690020435527987,48872.13959722522,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,False,False,-0.02690017692434728,True,True,True,-13.256466474732292,-9.06500681417511,-8.861389804384437,-8.861389804384437,-4.395076670347855,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.5050158049998572,False,,conventional_s2,163.18811287826964,2447821.6931740446,0.9999999994852059,3.357142855672017,729138.377009593,88790624853.06166,2.34242441273905e+18,2.34242441273905e+18,2.2978742316056054e+18,4.269081190247148e-19,0.09793950719937487,-13.148801649882909,-4.482436703575311,0.049259485273773614,3.893304357697387e-05,64,41093.72407509292,87101930740.41068,87101930695.57112,2.4478216931740446,0.7291383770095929,88790624853.06166,2.34242441273905e+18,2.2978742316056054e+18,2.34242441273905e+18,1.9018834029889173,41093.72407509292,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,False,True,-0.019018834545689055,True,True,True,-13.256466474732292,-13.256466455302494,-13.148801649882909,-13.148801649882909,-0.10766482484938322,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,known_amplitude_linear,88790624899.74777,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.008386789999349276,False,,exact_efim,166.91301867648855,2503695.280147328,0.999999997847227,3.3571428509920773,745781.574176224,90822247857.72733,2.3960215501788027e+18,2.3960215501788027e+18,2.34242440814165e+18,4.1735851663161174e-19,0.09683789653495388,-8.569864299515382,-4.204010823840005,0.021187399845770078,4.483793932350083e-05,64,45073.530850219926,88790624869.94128,88790624678.79523,2.503695280147328,0.7457815741762239,90822247857.72733,2.396021550178803e+18,2.34242440814165e+18,2.3960215501788027e+18,2.236922369631988,45073.530850219926,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-2.488467396956067e-09,False,False,True,-13.256466474732292,-8.757329591645258,-8.56809682963771,-8.56809682963771,-4.688369645094582,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,,,,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.4362222380004823,False,,exact_efim,162.8588508385703,2442882.7625785545,0.9999999995836395,3.357142855953256,727667.2061323114,88993857836.30911,2.347785991196465e+18,2.347785991196465e+18,2.342424410162657e+18,4.2593319993803427e-19,0.0978276123137344,-13.074583821327595,-4.538723784746834,0.04102218652461231,3.331302518371064e-05,64,14255.984041495305,88790624792.37126,88790624755.40236,2.4428827625785545,0.7276672061323114,88993857836.30911,2.347785991196465e+18,2.342424410162657e+18,2.347785991196465e+18,0.22836753664570789,14255.984041495305,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.625683165393971e-09,False,False,True,-13.256466474732292,-13.256466459300924,-13.074583821327595,-13.074583821327595,-0.18188265340469734,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.4587279160004982,False,,exact_efim,162.8588508385703,2442882.7625785545,0.9999999995836395,3.357142855953256,727667.2061323114,88993857836.30911,2.347785991196465e+18,2.347785991196465e+18,2.342424410162657e+18,4.2593319993803427e-19,0.0978276123137344,-13.074583821327595,-4.538723784746834,0.04102218652461231,3.331302518371064e-05,64,14255.984041495305,88790624792.37126,88790624755.40236,2.4428827625785545,0.7276672061323114,88993857836.30911,2.347785991196465e+18,2.342424410162657e+18,2.347785991196465e+18,0.22836753664570789,14255.984041495305,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.625683165393971e-09,False,False,True,-13.256466474732292,-13.256466459300924,-13.074583821327595,-13.074583821327595,-0.18188265340469734,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,natural_tdl,,unknown_amplitude_exact,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-4.54305460428243,-0.18188265340469734,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.4587279160004982,0.0,249.0,-13.074583821327595,-13.256466459300924,,0.0
uniform,Uniform,ok,ok,1.3703000149689615e-05,False,,none,247.8203747103446,3717305.620655169,1.0,3.357142857142857,1107282.5253015396,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,3.7173056206551687,1.1072825253015395,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,1,natural_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.0002037819976976607,False,,none,248.08911348396208,3721336.702259431,0.9999999999997526,3.3571428571421507,1108483.273013681,73265492283.97952,1.9328490819987776e+18,1.9328490819987776e+18,1.924403406285067e+18,5.173709677146084e-19,0.10781811496237345,-14.009149386853688,-10.690998439195006,0.016378735113226742,1.8966143266363929e-06,64,-17892.373866126185,72945355241.43242,72945355241.41437,3.721336702259431,1.1084832730136809,73265492283.97952,1.932849081998778e+18,1.924403406285067e+18,1.9328490819987776e+18,0.4369547417006215,17892.373866126185,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.17845656201005555,False,False,True,-13.256466474732292,-14.037745757923565,-13.982295755137766,-13.982295755137766,0.725829280405474,True,0.25,4,32,-1.5299479166666667e-06,1.0416666666666667e-06,1,natural_tdl,0.017128145958800328,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007207914997707121,False,,conventional_s2,246.2714180048746,3694071.270073119,0.9999999971858796,3.3571428491025133,1100361.657550759,88790624705.92708,2.3424244088574275e+18,2.3424244088574275e+18,2.333979089826505e+18,4.269081197321426e-19,0.09793950728052246,-10.540608592050075,-6.1878440292342285,0.025795392484420695,8.880857880711552e-06,64,-17891.99606663426,88470501432.54613,88470501183.57948,3.694071270073119,1.1003616575507589,88790624705.92708,2.342424408857428e+18,2.333979089826505e+18,2.3424244088574275e+18,0.3605375268029094,17891.99606663426,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-0.00360537744305509,True,False,True,-13.256466474732292,-11.01429925497653,-10.536176785403432,-10.536176785403432,-2.72028968932886,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,1,natural_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,
