method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate
uniform,rate_spectral_efficiency,25,316.2018360300086,311.2091409363667,86.54246100981878,280.47886387042576,351.9248081895915,171.59716011847922,268.09646449979243,392.6916714547272,434.61886388220506,443.817179046468,123.61347380794822,
uniform,rate_mbps,25,4.74302754045013,4.6681371140455,1.2981369151472815,4.207182958056387,5.278872122843873,2.573957401777188,4.021446967496886,5.890375071820908,6.519282958233076,6.65725768569702,1.8542021071192234,
uniform,tx_power_w,25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
uniform,ee_mbit_per_j,25,1.4128167141766343,1.3905089275880211,0.38667908110770094,1.2532034343146683,1.5724299940386004,0.7667107154229922,1.1978778201054556,1.7545798086275046,1.9419140726651714,1.9830129276544315,0.5523155212695559,
uniform,independently_evaluated_unknown_fim,25,2.025599828115394e+18,2.0255998281153943e+18,261.27890589687235,2.025599828115394e+18,2.025599828115394e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,
uniform,delay_fim_known_amplitude_per_s2,25,2.025599828115394e+18,2.0255998281153943e+18,261.27890589687235,2.025599828115394e+18,2.025599828115394e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,
uniform,range_rmse_bound_m,25,0.10532073506634214,0.10532073506634214,0.0,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,0.10532073506634214,
uniform,centroid_magnitude_hz,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
uniform,dense_psl_db,25,-13.256466474732292,-13.256466474732292,0.0,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,
uniform,fim_mismatch_percent,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
uniform,solve_time_s,25,1.380855988827534e-05,1.3506996765499935e-05,8.283024259851905e-07,1.3466653451158573e-05,1.4150466325392108e-05,1.2931402307003736e-05,1.331600287812762e-05,1.4150999049888924e-05,1.5121601609280332e-05,1.636600063648075e-05,1.280599826714024e-05,
uniform,physical_sensing_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
uniform,dense_psl_feasibility_rate,25,1.0,,,1.0,1.0,,,,,,,1.0
uniform,false_sensing_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
water_filling,rate_spectral_efficiency,25,317.3538901173942,311.28520881172915,85.02212555724942,282.2584815885613,352.4492986462271,175.4501759294014,268.4865019544827,392.6922322944599,434.61954703085615,443.8173970580269,132.70562177335887,
water_filling,rate_mbps,25,4.760308351760913,4.669278132175937,1.2753318833587413,4.23387722382842,5.286739479693406,2.631752638941021,4.027297529317241,5.890383484416899,6.5192932054628425,6.657260955870404,1.990584326600383,
water_filling,tx_power_w,25,0.9999999999998783,0.9999999999998364,5.367373198197451e-13,0.9999999999996567,1.0000000000001,0.999999999999164,0.9999999999993832,1.000000000000406,1.0000000000007114,1.0000000000007359,0.9999999999991179,
water_filling,ee_mbit_per_j,25,1.417964189886373,1.3908488053299435,0.3798860929154018,1.2611549177362555,1.5747734620364906,0.7839263179826436,1.1996205406469516,1.7545823145071084,1.9419171250324139,1.983013901748859,0.5929400121789201,
water_filling,independently_evaluated_unknown_fim,25,2.0330262889933023e+18,2.023349047992187e+18,1.8104367513918195e+17,1.9582951328509804e+18,2.1077574451356242e+18,1.7913038817127537e+18,1.9911642066463926e+18,2.031433443644859e+18,2.2583346866339018e+18,2.7121891357295795e+18,1.7066958102177137e+18,
water_filling,delay_fim_known_amplitude_per_s2,25,2.0448723634666022e+18,2.0233551257267812e+18,1.7535333233185133e+17,1.9724900653913244e+18,2.11725466154188e+18,1.9060641384239585e+18,1.991384237189999e+18,2.031435924722094e+18,2.3100365683559465e+18,2.7122245122482084e+18,1.7374656613265838e+18,
water_filling,range_rmse_bound_m,25,0.10506773368667137,0.10537914008130982,0.004034258738297888,0.10340247352522972,0.10673299384811302,0.09864318263137571,0.10516933868786175,0.10622168214267516,0.10857450861693718,0.11371888483758241,0.09101812589296013,
water_filling,centroid_magnitude_hz,25,11895.029065165592,2311.4554727203845,17898.409282422526,4506.928830481285,19283.129299849898,44.221865355400176,932.9617977949329,17892.373866126185,45964.62986393933,72704.98788891542,27.808815084145476,
water_filling,dense_psl_db,25,-12.795568517384009,-13.28582667699816,1.9211221692095888,-13.588568773732685,-12.002568261035332,-14.357211777177866,-13.46801887847602,-13.145809502487957,-9.195858384779472,-5.477989331911654,-14.488123372368927,
water_filling,fim_mismatch_percent,25,0.5978785519805021,0.006921809131832872,1.5435022525391258,-0.03924786379652134,1.2350049677575257,2.8166561096044893e-06,0.0011362412658350882,0.4369547417006215,2.5160120746807335,7.3384704866296016,1.0061938037864922e-06,
water_filling,solve_time_s,25,0.00019407464031246491,0.0001938540008268319,1.5901998194161906e-05,0.00018751061807247647,0.00020063866255245336,0.00017293159835389814,0.0001838730022427626,0.00019840800086967647,0.0002145104001101572,0.00024173900237656198,0.000169754999660654,
water_filling,physical_sensing_feasibility_rate,25,0.04,,,-0.042555942465120976,0.12255594246512097,,,,,,,0.04
water_filling,dense_psl_feasibility_rate,25,0.8,,,0.6314833881049067,0.9685166118950934,,,,,,,0.8
water_filling,false_sensing_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
conventional_s2,rate_spectral_efficiency,25,316.06491069919366,309.70173783715336,84.90515105568994,281.01778687146395,351.11203452692337,174.76130905405523,266.80069425283983,391.4541118028183,433.29319622432683,442.50130026290185,132.70562170952877,
conventional_s2,rate_mbps,25,4.740973660487905,4.6455260675573005,1.273577265835349,4.215266803071959,5.2666805179038505,2.6214196358108284,4.002010413792598,5.871811677042275,6.499397943364902,6.637519503943528,1.9905843256429314,
conventional_s2,tx_power_w,25,0.9999999987814454,0.9999999990982053,9.012940280124567e-10,0.9999999984094096,0.9999999991534813,0.9999999971445531,0.9999999986175856,0.9999999993679309,0.9999999996001069,0.9999999996770246,0.999999995915586,
conventional_s2,ee_mbit_per_j,25,1.4122049214400543,1.3837737240024863,0.3793634406540801,1.2556113895400114,1.5687984533400972,0.7808484042518243,1.1920882090555749,1.7490502880110834,1.9359908777860033,1.977133469908784,0.592940012368996,
