method,label,status,solver_status,solve_time_s,solver_inaccurate,error,optimizer_model,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,rate_mbps,ee_mbit_per_j,optimizer_claimed_sensing_metric,optimizer_claimed_known_fim,independently_evaluated_unknown_fim,independently_evaluated_known_fim,fim_mismatch_percent,centroid_magnitude_hz,gamma_unknown_fim,gamma_conventional_s,c_beta,j_max,s_max,fim_fraction,max_range_rmse_m_target,optimizer_claimed_sensing_satisfied,physical_sensing_satisfied,physical_sensing_satisfied_1pct,physical_sensing_satisfied_2pct,relative_unknown_fim_gap,false_sensing_feasibility,material_false_sensing_feasibility_1pct,psl_requirement_applicable,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,dense_psl_db,psl_margin_db,dense_psl_satisfied,psl_tolerance_db,optimization_oversampling,validation_oversampling,worst_delay_s,mainlobe_exclusion_s,realization,num_subcarriers,subcarrier_spacing_hz,bandwidth_hz,num_symbols,total_power_w,noise_bandwidth_hz,channel_model,water_level_w,sensing_model,min_sensing_surrogate,min_unknown_fim,gamma_fim_kernel,unknown_fim_representation,s0_epsilon_w,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s,validation_grid_isl_db,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,cutting_plane_iteration,cutting_plane_num_constraints,cutting_plane_converged,cutting_plane_iterations,cutting_plane_status,cutting_plane_infeasible,cutting_plane_runtime_s,num_added_soc_constraints,num_final_soc_constraints,initial_validation_grid_psl_db,initial_optimization_grid_psl_db,worst_violating_delay_s,num_worst_violating_delays
uniform,Uniform,ok,ok,1.4474997442448512e-05,False,,none,416.92988089248496,6253948.213387274,1.0,3.357142857142857,1862878.1912217413,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,6.253948213387274,1.8628781912217414,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,0,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.0002068739995593205,False,,none,416.93071379383093,6253960.706907464,1.0000000000008535,3.357142857145296,1862881.912694487,76551652634.34396,2.019542719323748e+18,2.019542719323748e+18,2.0195289036723471e+18,4.951615979358209e-19,0.1054785583017251,-13.329790755659483,-9.760443549059508,0.01569277372244216,4.51996794330353e-09,64,723.6631305365689,76551128945.95213,76551128946.01747,6.253960706907464,1.862881912694487,76551652634.34396,2.0195427193237478e+18,2.0195289036723471e+18,2.019542719323748e+18,0.0006840980024223615,723.6631305365689,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13784671487051403,False,False,True,-13.256466474732292,-13.52321217007355,-13.329790755659483,-13.329790755659483,0.07332428092719034,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,0,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,0.015808716507253497,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007913501998700667,False,,conventional_s2,415.59101872221436,6233865.280833215,0.9999999994187098,3.357142855482028,1856896.0420178901,88790624895.9628,2.3424244138708434e+18,2.3424244138708434e+18,2.342410601283372e+18,4.2690811881844483e-19,0.09793950717571408,-10.550213594575242,-6.235578086062011,0.022773099426918134,7.655805183992167e-06,64,723.5828820566106,88790101375.38872,88790101323.7759,6.233865280833215,1.8568960420178902,88790624895.9628,2.3424244138708434e+18,2.342410601283372e+18,2.3424244138708434e+18,0.0005896705733413518,723.5828820566106,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-5.896748361351733e-06,True,False,True,-13.256466474732292,-11.015067149540885,-10.542476229493982,-10.542476229493982,-2.7139902452383105,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,
exact_efim,Exact EFIM,ok,optimal,0.008739357002923498,False,,exact_efim,415.5909444470339,6233864.166705509,0.9999999997722087,3.357142856492025,1856895.709591415,88790858875.59402,2.342430586590105e+18,2.342430586590105e+18,2.3424244143766707e+18,4.269069938399788e-19,0.09793937813165954,-10.550176373965144,-6.235528100214816,0.02273791984350281,7.655262455433089e-06,64,483.69459133536816,88790624935.36214,88790624915.1364,6.233864166705509,1.856895709591415,88790858875.59402,2.342430586590105e+18,2.3424244143766707e+18,2.342430586590105e+18,0.00026349610826047746,483.69459133536816,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,1.7331360345234117e-10,False,False,True,-13.256466474732292,-11.01502219877489,-10.542436268615859,-10.542436268615859,-2.7140302061164334,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,0,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,,,,,,,,,,,,,,,,,,,,,
conventional_s2_psl,Conventional $S_2$+PSL,ok,optimal,0.47439335099988966,False,,conventional_s2,414.3220966701425,6214831.4500521375,0.9999999996825292,3.357142856235798,1851226.3898774113,88790624882.19376,2.3424244135075973e+18,2.3424244135075973e+18,2.342409873520407e+18,4.2690811888464665e-19,0.09793950718330795,-13.023417468283412,-5.414070620596823,0.03337456932109419,1.917716732683587e-05,64,742.3911317344765,88790073765.78972,88790073737.60146,6.214831450052137,1.8512263898774113,88790624882.19376,2.3424244135075963e+18,2.342409873520407e+18,2.3424244135075973e+18,0.0006207238580005878,742.3911317344765,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-6.207436279668958e-06,True,False,True,-13.256466474732292,-13.256466488957532,-13.023417468283412,-13.023417468283412,-0.23304900644887994,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,known_amplitude_linear,88790624899.74777,,,,,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,
exact_efim_sampled_psl,Exact EFIM+sampled PSL,ok,optimal,0.46285402799912845,False,,exact_efim,414.32197313064495,6214829.596959674,0.9999999993220958,3.3571428552059883,1851225.838460289,88790726047.32529,2.3424270823892966e+18,2.3424270823892966e+18,2.342424410839469e+18,4.2690763248006466e-19,0.09793945138882136,-13.023419367826829,-5.414014081702353,0.033326921347562835,1.9176689846020735e-05,64,318.22361342676254,88790624841.24875,88790624781.05722,6.214829596959674,1.8512258384602889,88790726047.32529,2.3424270823892966e+18,2.342424410839469e+18,2.3424270823892966e+18,0.00011405050119464104,318.22361342676254,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.3367465047430004e-09,False,False,True,-13.256466474732292,-13.256466475870592,-13.023419367826829,-13.023419367826829,-0.23304710690546315,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,,,,,,,,,,,,,,,,,
exact_efim_cutting_plane_psl,Exact EFIM+cutting-plane PSL,ok,optimal,0.49389279000024544,False,,exact_efim,414.32197313064495,6214829.596959674,0.9999999993220958,3.3571428552059883,1851225.838460289,88790726047.32529,2.3424270823892966e+18,2.3424270823892966e+18,2.342424410839469e+18,4.2690763248006466e-19,0.09793945138882136,-13.023419367826829,-5.414014081702353,0.033326921347562835,1.9176689846020735e-05,64,318.22361342676254,88790624841.24875,88790624781.05722,6.214829596959674,1.8512258384602889,88790726047.32529,2.3424270823892966e+18,2.342424410839469e+18,2.3424270823892966e+18,0.00011405050119464104,318.22361342676254,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,True,True,True,-1.3367465047430004e-09,False,False,True,-13.256466474732292,-13.256466475870592,-13.023419367826829,-13.023419367826829,-0.23304710690546315,True,0.25,4,32,-1.3671875e-06,1.0416666666666667e-06,0,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,unknown_amplitude_exact,,2.3424244139706967e+18,88790624899.74777,quad_over_lin,1e-12,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06,-5.416860736664704,-0.23304710690546315,249.0,1985.0,1.0,249.0,True,1.0,dense_psl_satisfied,False,0.49389279000024544,0.0,249.0,-13.023419367826829,-13.256466475870592,,0.0
uniform,Uniform,ok,ok,1.4753000868950039e-05,False,,none,168.23668707883257,2523550.306182489,1.0,3.357142857142857,751695.8358841456,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,4.936809265680052e-19,0.10532073506634214,-13.256466474732292,-9.684463547443015,0.015625,0.0,64,0.0,76781250000.0,76781250000.0,2.523550306182489,0.7516958358841456,76781250000.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,0.0,0.0,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.13525498793715435,False,False,True,-13.256466474732292,-13.456972739469613,-13.256466474732292,-13.256466474732292,0.0,True,0.25,4,32,-1.4973958333333334e-06,1.0416666666666667e-06,1,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_filling,Water-filling,ok,ok,0.00018654899758985266,False,,none,168.34277728699996,2525141.6593049993,0.9999999999991167,3.3571428571403334,752169.8559637567,77831991835.45758,2.0533199092718815e+18,2.0533199092718815e+18,2.0490028660336161e+18,4.870161709748412e-19,0.1046073976581262,-13.461381098893789,-9.337123465092015,0.017260143174880227,8.186283237934592e-07,64,12792.16234995492,77668352417.93872,77668352417.87012,2.525141659304999,0.7521698559637566,77831991835.45758,2.0533199092718815e+18,2.0490028660336161e+18,2.0533199092718815e+18,0.2102469867832817,12792.16234995492,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,False,False,False,False,-0.12526404104527541,False,False,True,-13.256466474732292,-13.760670336434258,-13.439163738938085,-13.439163738938085,0.18269726420579246,True,0.25,4,32,-1.46484375e-06,1.0416666666666667e-06,1,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,0.018790064338670184,,,,,,,,,,,,,,,,,,,,,,,,,,,
conventional_s2,Conventional $S_2$,ok,optimal,0.007486720998713281,False,,conventional_s2,167.57070008360603,2513560.5012540906,0.9999999959763399,3.3571428456466856,748720.15187364,88790624614.19412,2.3424244064373806e+18,2.3424244064373806e+18,2.3381076781242957e+18,4.2690812017319744e-19,0.09793950733111496,-10.767603035635855,-6.21492537790017,0.023390736889351345,8.51133916584411e-06,64,12791.695777680146,88626997490.58868,88626997133.98378,2.5135605012540907,0.74872015187364,88790624614.19412,2.3424244064373806e+18,2.3381076781242957e+18,2.3424244064373806e+18,0.18428463694375044,12791.695777680146,2.3424244139706967e+18,88790624899.74777,26381438.54281344,4.684848827941393e+18,177581250000.0,0.5,0.09793950717362658,True,False,True,True,-0.0018428495795446511,True,False,True,-13.256466474732292,-11.178842117674442,-10.74477056540966,-10.74477056540966,-2.5116959093226328,False,0.25,4,32,-1.3997395833333333e-06,1.0416666666666667e-06,1,64,15000.0,960000.0,1,1.0,15000.0,exponential_tdl,,known_amplitude_linear,88790624899.74777,,,,,,,,,,,,,,,,,,,,,,,,,
