method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate,num_subcarriers
uniform,rate_spectral_efficiency,8,345.47127629644035,353.3278234389044,100.68269404807705,261.29843762620476,429.64411496667594,198.81183158143196,302.93179698879396,417.32906512310586,457.90981580787616,479.11615318867257,168.23668707883257,,64
uniform,independently_evaluated_unknown_fim,8,2.0255998281153943e+18,2.0255998281153943e+18,0.0,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,2.0255998281153943e+18,,64
uniform,fim_mismatch_percent,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,64
uniform,centroid_magnitude_hz,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,64
uniform,dense_psl_db,8,-13.256466474732292,-13.256466474732292,0.0,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,-13.256466474732292,,64
uniform,ee_mbit_per_j,8,1.5435950643032443,1.5786987855780834,0.44985884574672724,1.1675036574787874,1.9196864711277013,0.8883081836617173,1.3535250503754623,1.8646617803372816,2.0459800280777447,2.140731748289814,0.7516958358841456,,64
uniform,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
uniform,dense_psl_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,64
uniform,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
water_filling,rate_spectral_efficiency,8,346.39357609490935,353.3317309659956,99.758805707375,262.99312740675043,429.79402478306827,201.4212791803872,304.7492404466703,417.3299451563582,457.9104035730041,479.1165074425002,168.34277728699996,,64
water_filling,independently_evaluated_unknown_fim,8,2.013020241357425e+18,2.0245080932574482e+18,4.709972276592259e+16,1.9736438877221545e+18,2.0523965949926953e+18,1.9402335085074007e+18,2.0185601753271347e+18,2.0340069219993016e+18,2.0454992073809623e+18,2.0490028660336161e+18,1.8996224798544259e+18,,64
water_filling,fim_mismatch_percent,8,0.7074418929591112,0.0025632773665823193,1.9115850002745725,-0.8906831607439686,2.305566946662191,0.00012947517362395575,0.0005961031464093941,0.05869826345290428,3.606299397804318,5.434943003738726,2.0359494145051605e-05,,64
water_filling,centroid_magnitude_hz,8,10463.031571294541,1363.8174796137828,22159.28753165224,-8062.596413575131,28988.659556164213,258.11878719732726,668.8770976727118,5073.329199713919,46292.047089881584,64330.44656522675,125.4417500291203,,64
water_filling,dense_psl_db,8,-13.168456658726003,-13.275451593994802,0.34126990282203223,-13.45376543740776,-12.883147880044245,-13.40852089616121,-13.33524625663851,-13.172991815647304,-12.628644112869647,-12.357939194471992,-13.439163738938085,,64
water_filling,ee_mbit_per_j,8,1.5477159782961842,1.5787162447407943,0.44573083401147673,1.1750756756471297,1.9203562809452388,0.8999674176149942,1.3616455424209524,1.8646657123997976,2.045982654262944,2.140733331126829,0.7521698559637566,,64
water_filling,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
water_filling,dense_psl_feasibility_rate,8,0.875,,,0.579421968550902,1.1705780314490979,,,,,,,0.875,64
water_filling,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
conventional_s2,rate_spectral_efficiency,8,345.2243412969452,352.0628683875828,99.57258180898684,261.9795796839462,428.46910290994424,200.58626462046806,303.65764223716275,416.0054055482023,456.59481893073934,477.78126280243265,167.57070008360603,,64
conventional_s2,independently_evaluated_unknown_fim,8,2.328695059296506e+18,2.34237235903773e+18,3.700134457928164e+16,2.2977611610997962e+18,2.359628957493215e+18,2.2725151780919048e+18,2.341221566911602e+18,2.3424124049079654e+18,2.342421830098414e+18,2.342423991653543e+18,2.2371961396129252e+18,,64
conventional_s2,fim_mismatch_percent,8,0.5861172459105324,0.0022222691646104683,1.5796174494219888,-0.7344759899776123,1.906710481798677,0.00011028597098465869,0.0005126789383760695,0.051350400065321974,2.984481912631814,4.492280445694621,1.798393733320109e-05,,64
conventional_s2,centroid_magnitude_hz,8,10315.741499454787,1363.9124112153513,21751.916645637288,-7869.3159018435545,28500.79890075313,257.181452819059,667.7188504882936,5072.918130096655,45528.717615470276,63156.34475889578,126.3647512229064,,64
conventional_s2,dense_psl_db,8,-10.56806996910256,-10.532759859567786,0.08361045485680088,-10.637970058629822,-10.498169879575297,-10.709827625947069,-10.568090570999622,-10.526387328879451,-10.506608049949307,-10.503822939607533,-10.74477056540966,,64
conventional_s2,ee_mbit_per_j,8,1.542491739045793,1.573046860393175,0.4448987692772053,1.1705470599227397,1.9144364181688465,0.8962365035233515,1.3567681898387507,1.8587475576557901,2.040104510935802,2.134767345133047,0.74872015187364,,64
conventional_s2,physical_sensing_feasibility_rate,8,0.125,,,-0.170578031449098,0.420578031449098,,,,,,,0.125,64
conventional_s2,dense_psl_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
conventional_s2,false_sensing_feasibility_rate,8,0.875,,,0.579421968550902,1.1705780314490979,,,,,,,0.875,64
exact_efim,rate_spectral_efficiency,8,345.17083764447216,352.0622409442135,99.62578964994071,261.881593163241,428.4600821257033,200.4322202219244,303.5549827148225,416.0053128870205,456.59474353476185,477.7812264035673,167.55481809737367,,64
exact_efim,independently_evaluated_unknown_fim,8,2.342424410168521e+18,2.342424412328915e+18,5531422156.0628195,2.3424244055441367e+18,2.3424244147929057e+18,2.3424244013862205e+18,2.3424244085604987e+18,2.3424244137449457e+18,2.3424244142838e+18,2.3424244143766707e+18,2.3424243977945564e+18,,64
exact_efim,fim_mismatch_percent,8,0.24892998801044766,0.0010254557647873682,0.6658311624672254,-0.3077187940851841,0.8055787701060794,5.0922228627889615e-05,0.00023014909931454402,0.02507655000099586,1.2635311156113602,1.8949317652574986,8.283697324660473e-06,,64
exact_efim,centroid_magnitude_hz,8,6853.571477799363,925.5302190396856,14267.908318153086,-5074.698384071203,18781.84133966993,174.70623590746146,447.7429686652229,3496.7839309593264,30064.639006372883,41412.802607125464,85.76215488967068,,64
exact_efim,dense_psl_db,8,-10.521096907225525,-10.530970932563331,0.11863125273077925,-10.620275116467598,-10.421918697983452,-10.662854925895981,-10.536192174731278,-10.509529473472456,-10.363113821223726,-10.287395216298439,-10.727695741354509,,64
exact_efim,ee_mbit_per_j,8,1.5422526799002878,1.5730440563139347,0.4451365065764088,1.1701092474212484,1.9143961123793272,0.8955482194612024,1.3563094988236037,1.858747143161308,2.04010417406111,2.1347671826250223,0.7486491890563629,,64
exact_efim,physical_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,64
exact_efim,dense_psl_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
exact_efim,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,64
conventional_s2_psl,rate_spectral_efficiency,8,343.95559949717415,350.8009051790892,99.49564383457476,260.7751596404515,427.1360393538968,199.46992822164333,302.27683026500813,414.7324401389382,455.30457773020396,476.488250829754,166.77917144642328,,64
conventional_s2_psl,independently_evaluated_unknown_fim,8,2.3257687867351905e+18,2.3423662610174945e+18,4.526941838225626e+16,2.2879226058576156e+18,2.363614967612765e+18,2.2573085702706826e+18,2.341218787853366e+18,2.342411810555227e+18,2.3424214318917714e+18,2.3424234835552015e+18,2.213793243077107e+18,,64
conventional_s2_psl,fim_mismatch_percent,8,0.7110422205715916,0.002482568507494902,1.9325882224095576,-0.9046419662579719,2.3267264074011553,0.0001272827261652772,0.0005380316608176686,0.05146912031573999,3.633664437379063,5.4913690862420195,3.9689926032551305e-05,,64
conventional_s2_psl,centroid_magnitude_hz,8,11185.57001768486,1442.6464284537958,24052.843118737866,-8923.110054257226,31294.25008962695,299.6110608862905,683.6428950075431,5116.327169185143,49856.87577360013,69827.07875371439,187.72568645681616,,64
conventional_s2_psl,dense_psl_db,8,-13.033382424610828,-13.023537865559707,0.0249461995879962,-13.054237969381543,-13.012526879840113,-13.07257248938716,-13.025557365663374,-13.023431886107751,-13.023390827916604,-13.023376483103707,-13.0947384690224,,64
conventional_s2_psl,ee_mbit_per_j,8,1.5368228918453983,1.5674083002434964,0.44455500448079166,1.1651656072842664,1.9084801764065302,0.891248615738203,1.3505986037212885,1.8530598394821207,2.0343396032203875,2.1289900574103084,0.7451835322374981,,64
conventional_s2_psl,physical_sensing_feasibility_rate,8,0.125,,,-0.170578031449098,0.420578031449098,,,,,,,0.125,64
conventional_s2_psl,dense_psl_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,64
conventional_s2_psl,false_sensing_feasibility_rate,8,0.875,,,0.579421968550902,1.1705780314490979,,,,,,,0.875,64
exact_efim_sampled_psl,rate_spectral_efficiency,8,343.8298834401493,350.7998332825741,99.62054698348214,260.5450219377626,427.11474494253594,199.1104078758969,302.03306420663847,414.73228051171964,455.304446052832,476.4881924978488,166.75108533939442,,64
exact_efim_sampled_psl,independently_evaluated_unknown_fim,8,2.342424411109331e+18,2.342424410953832e+18,1270975947.4476793,2.3424244100467686e+18,2.342424412171893e+18,2.342424409618001e+18,2.3424244102929664e+18,2.342424411759459e+18,2.3424244129120123e+18,2.342424412923667e+18,2.3424244095486863e+18,,64
