subcarrier,frequency_hz,channel_gain,power_uniform_w,power_water_filling_w,power_edge_weighted_w,power_sensing_optimal_w,power_min_power_isac_w,power_max_rate_isac_w,power_dinkelbach_ee_isac_w,power_dinkelbach_ee_rmin_isac_w
0,-472500.0,6.20145528016881e-14,0.015625,0.011728738309700688,0.045432692307692306,0.0625,0.0572755452744941,0.03572342000467591,0.06249999967549573,0.05727502616243473
1,-457500.0,4.2155728089039014e-14,0.015625,0.009455240235555117,0.04259386446886447,0.0625,0.03476855357650068,0.027494841660194995,0.05226070517414105,0.034766322625992566
2,-442500.0,1.4587637645513395e-12,0.015625,0.016349686622162487,0.03984661172161172,0.0625,0.03162584149423819,0.03008458650399508,0.034363538348377624,0.03162529712921025
3,-427500.0,8.771785853932248e-13,0.015625,0.01621365759189667,0.037190934065934066,0.0625,0.025499528321383226,0.026696116405091532,0.024285241809564057,0.025500190272093392
4,-412500.0,3.440386110910084e-13,0.015625,0.01568492351768703,0.034626831501831504,0.0625,0.020999601165107257,0.023628436970188668,0.01840552150249044,0.02099870654140993
5,-397500.0,2.4931033889212044e-12,0.015625,0.01643480614205268,0.032154304029304026,0.0625,0.018926125371789875,0.02234348512896395,0.01581469303845308,0.01892444598783746
6,-382500.0,8.515615659309677e-13,0.015625,0.016203393612190586,0.029773351648351647,0.0625,0.01658850505239857,0.02044735280890601,0.013304125476531817,0.016587159987297463
7,-367500.0,6.821945790901701e-13,0.015625,0.016116137530993415,0.02748397435897436,0.0625,0.014871601903968898,0.01898148213362627,0.011566864032273791,0.01487316189058126
8,-352500.0,7.515910639419077e-13,0.015625,0.0161566453498972,0.02528617216117216,0.0,0.013619729049308608,0.017852395777812426,0.0103595839014908,0.013619875821739081
9,-337500.0,9.915503076418183e-13,0.015625,0.01625301324697581,0.023179945054945056,0.0,0.012666042285055997,0.01695904915431062,0.009480734461587183,0.012666963394730151
10,-322500.0,1.85409823187438e-12,0.015625,0.016393432610454575,0.02116529304029304,0.0,0.011939951740152239,0.016245914075675858,0.008840900736951872,0.011940248744323255
11,-307500.0,8.726228915696275e-13,0.015625,0.01621187631610668,0.019242216117216118,0.0,0.011032485887901792,0.015325179009033121,0.008022114981281825,0.01103320296791529
12,-292500.0,2.921693713332207e-12,0.015625,0.016452416113279963,0.017410714285714286,0.0,0.010658806739673706,0.014921014459168618,0.007734930848689213,0.0106589706696534
13,-277500.0,4.610941362392024e-13,0.015625,0.01590576791793386,0.015670787545787546,0.0,0.009588051585944703,0.013810792975946647,0.006744650214821457,0.009586853313715482
14,-262500.0,7.773502218112902e-13,0.015625,0.016169840811433252,0.014022435897435898,0.0,0.009397515155291651,0.013575551102950516,0.006632922621511556,0.009398075308132825
15,-247500.0,2.2728957689009547e-12,0.015625,0.01642317549724249,0.012465659340659341,0.0,0.009259186414479054,0.01338971476895934,0.00656433232839192,0.009259526833900257
16,-232500.0,1.6587866318321277e-13,0.015625,0.014750586353566299,0.011000457875457876,0.0,0.007245482487402252,0.011327763168618096,0.004614812384831272,0.007245776305135934
17,-217500.0,2.5049027238675664e-13,0.015625,0.015360038796435957,0.009626831501831502,0.0,0.007556649146666086,0.011592688695883296,0.004984687579378214,0.007556498205846026
18,-202500.0,1.5599694947967053e-13,0.015625,0.014636294074290818,0.00834478021978022,0.0,0.006571234470161757,0.010563270025739918,0.00405286495727397,0.006572454220940207
19,-187500.0,1.1387169877310838e-12,0.015625,0.016292022730338956,0.007154304029304029,0.0,0.007998850867463178,0.011947376201436807,0.005527613774212263,0.00799836650832219
