subcarrier,gamma_frac_0.0000,gamma_frac_0.0416,gamma_frac_0.0833,gamma_frac_0.1249,gamma_frac_0.1665,gamma_frac_0.2081,gamma_frac_0.2498,gamma_frac_0.2914,gamma_frac_0.3330,gamma_frac_0.3746,gamma_frac_0.4163,gamma_frac_0.4579,gamma_frac_0.4995,gamma_frac_0.5411,gamma_frac_0.5827,gamma_frac_0.6244,gamma_frac_0.6660,gamma_frac_0.7076,gamma_frac_0.7493,gamma_frac_0.7909,gamma_frac_0.8325,gamma_frac_0.8741,gamma_frac_0.9158,gamma_frac_0.9574,gamma_frac_0.9990
0,0.011729581684242214,0.011728731747867812,0.01172769569648863,0.01172885181443032,0.011728619194420477,0.011728478668140951,0.011728065167488791,0.011728783988588835,0.011728489729254644,0.011728669337104296,0.011728948370280377,0.014467983678177072,0.01911892989848356,0.02490716045436905,0.032173882555989956,0.04134337001647325,0.05282500393714236,0.06249999624963142,0.06249999851624003,0.06249999902311251,0.06249999943868692,0.062499999616463665,0.06249999973278522,0.062499999820738485,0.06249999994596531
1,0.00945499643365179,0.00945525636096899,0.0094554602785032,0.009455220216686419,0.009455045940663272,0.009455314354606814,0.009455465257062519,0.009455357305276012,0.009454779451481272,0.009456018306960015,0.009454908631955953,0.011884578637759243,0.015786482387398625,0.020253424311355038,0.02527297404099255,0.030732005518190057,0.03636147982836246,0.04494529438720757,0.06249992692131124,0.06249999785883006,0.062499999127479874,0.06249999951327187,0.06249999969182888,0.06249999981457079,0.06249999994950232
2,0.01634940991519565,0.01634968676402667,0.016348918023022786,0.016349678978476535,0.01634815656971436,0.016349772755586616,0.01635003097483452,0.016349591734564094,0.016349766857176717,0.01634972600377388,0.016349843560315012,0.018489243343140723,0.021741431473975954,0.025181964798339056,0.0286689998839778,0.03199951325146231,0.034893220713637964,0.03869511877262431,0.04531558564639753,0.06249994859332298,0.06249999852226714,0.062499999284877726,0.06249999958965548,0.062499999749769414,0.062499999927823326
3,0.01621397587740954,0.016213653187791468,0.01621378718758803,0.01621365960983546,0.016213368675870775,0.016213866654484,0.01621345610533872,0.01621353659840074,0.016214067931630542,0.01621380514689025,0.016213517801116163,0.01808143159176268,0.02076815750151327,0.023395017694451153,0.0258049506837973,0.027814436683816283,0.029255506240232834,0.030925076327506625,0.03354226213822917,0.039644439063189776,0.06005269924085335,0.062499998620895066,0.062499999451483074,0.06249999971495158,0.06249999992869531
4,0.015685177494302087,0.01568492305942303,0.015685800942952327,0.015684929923527633,0.01568467531838587,0.015685245644959617,0.015684039860359066,0.015684469124909194,0.01568464536265479,0.01568503236716113,0.015684965157142062,0.017296164966143345,0.019488860401843007,0.021464148055579016,0.023089336421118812,0.024239198999478684,0.024833720468648755,0.0254149605043266,0.026303986651921407,0.028468248772689286,0.03428917689183832,0.05559677690665276,0.06249999898901285,0.062499999646061864,0.062499999929870875
5,0.016434984200163427,0.01643479851229217,0.016434882009749227,0.016434794049830462,0.016434968882456838,0.016433357065299317,0.016435249071428647,0.016434785838944928,0.01643535013795001,0.01643482084589006,0.016434776187015727,0.017806546000248714,0.01956395983932365,0.02101077345639854,0.022050679346495378,0.022614390886560466,0.022690147669655106,0.02266671809777294,0.022698062073434135,0.02322380896331806,0.024942702163898527,0.02961351419216877,0.05340495557275632,0.062499999264690895,0.062499999921333864
6,0.01620336964618018,0.01620338661218161,0.016204672604373437,0.016203474898180383,0.01620318859965497,0.01620291991201263,0.016203681948256825,0.016203373842081197,0.016202247078597874,0.016203497350339026,0.01620360962618136,0.017348950499843602,0.018724031029705147,0.019737362075314964,0.020332720965973307,0.02048374748051273,0.020228866856338644,0.01984344470517193,0.019415326643169934,0.019154666441132027,0.01928130323657096,0.020069032677967315,0.02327644930218527,0.05165080243633363,0.0624999999099734
7,0.016116055373309686,0.016116131817416536,0.016116234435006444,0.01611610208231108,0.016115261219616588,0.01611679935764367,0.016116015072527586,0.016116025739679043,0.01611552266899887,0.016116249583897502,0.016117061562933157,0.017052031372283432,0.018085950588724697,0.01874043971541981,0.01899307463000105,0.018852144189277033,0.018373160810056903,0.01776663644021424,0.017076368260137354,0.016402166058389903,0.01580892255275683,0.015258144195294898,0.014937282751334737,0.015541740547138385,0.05920928721674732
8,0.016156313488389182,0.016156634215313798,0.0161567839529495,0.01615662509323532,0.016157693602390846,0.016156759074780903,0.016156954249298184,0.01615665453181825,0.016158381441708124,0.01615643901543651,0.016156903335284536,0.016894621373520515,0.017626623064293852,0.017982054850487334,0.017966174810966986,0.017608627765549938,0.016979788319823087,0.016233809763999962,0.01539053631602058,0.014495671220094772,0.013542087403927107,0.012445006169425713,0.011116488254072644,0.009197405149702558,0.0016023146934804186
9,0.016253025572723043,0.01625304845514151,0.01625303078434256,0.016252971750838285,0.0162538847022962,0.016254517303001658,0.016253193941917,0.016252990848982254,0.01625322603797589,0.016252345406807027,0.01625299426809886,0.016805409711333888,0.01726921201380994,0.017372653758175954,0.017142992035413855,0.016625841376196705,0.0158943997774521,0.015057022341327976,0.014124003280071566,0.013101458862401232,0.011970157088285999,0.010634968625470897,0.00897844781169146,0.006638758706751723,0.0007364780715709539
