scenario,iteration,q_bit_per_j,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,residual_bps,residual_relative,solver_status,solver_name,solve_time_s
loose sensing (0.2 S_max),1,0.0,4915333.819613337,0.9999999994015147,3.3571428554328993,1464141.9895667534,4915333.819613337,1.0,optimal,CLARABEL,0.007552877999842167
loose sensing (0.2 S_max),2,1464141.9895667534,3651019.53339362,0.3795097541025001,1.5843135831500004,2304480.3580705947,1331359.4916627468,0.3646541683728679,optimal,CLARABEL,0.0020239969999238383
loose sensing (0.2 S_max),3,2304480.3580705947,3275709.157288008,0.3079312835510344,1.3798036672886698,2374040.0427582674,95978.7080274946,0.02930013118348893,optimal,CLARABEL,0.0024005830000533024
loose sensing (0.2 S_max),4,2374040.0427582674,3248414.0831941077,0.3038469167382222,1.368134047823492,2374339.041091679,409.069800183177,0.00012592908099356162,optimal,CLARABEL,0.001937419999649137
loose sensing (0.2 S_max),5,2374339.041091679,3248295.442003643,0.303829426757227,1.3680840764492201,2374339.046788994,0.0077944062650203705,2.399537358650035e-09,optimal,CLARABEL,0.002598248000140302
loose sensing (0.2 S_max),6,2374339.046788994,3248297.7820582855,0.3038297716862537,1.3680850619607248,2374339.0468739276,0.00011619599536061287,3.577134953649022e-11,optimal,CLARABEL,0.0020539560000543133
default sensing (0.6 S_max),1,0.0,4809648.442639067,0.9999999987491299,3.3571428535689427,1432661.239758082,4809648.442639067,1.0,optimal,CLARABEL,0.0054343380002137565
default sensing (0.6 S_max),2,1432661.239758082,4137281.5924890907,0.7621161277179833,2.6774746506228095,1545217.8385803632,301367.4401069791,0.07284189711768423,optimal,CLARABEL,0.0020435269998415606
default sensing (0.6 S_max),3,1545217.8385803632,4060644.2464704975,0.744086971002291,2.6259627742922604,1546344.9391680378,2959.7241861168295,0.0007288804451878332,optimal,CLARABEL,0.0028565299999172566
default sensing (0.6 S_max),4,1546344.9391680378,4059896.4306140784,0.7439176483929533,2.625478995408438,1546345.0432146734,0.2731722560711205,6.728552334764902e-08,optimal,CLARABEL,0.0025304460000370455
default sensing (0.6 S_max),5,1546345.0432146734,4059897.1771189575,0.7439178173524437,2.625479478149839,1546345.0432223314,2.0106323063373566e-05,4.952421745232894e-12,optimal,CLARABEL,0.00308080400009203
strict sensing (0.95 S_max),1,0.0,3548008.908597682,0.9999999973857132,3.3571428496734663,1056853.719806049,3548008.908597682,1.0,optimal,CLARABEL,0.005303081999954884
strict sensing (0.95 S_max),2,1056853.719806049,3548008.917392182,0.9999999996536891,3.3571428561533976,1056853.7203857563,0.0019461601041257381,5.485217623286536e-10,optimal,CLARABEL,0.002646542000093177
strict sensing (0.95 S_max),3,1056853.7203857563,3548008.917397035,0.9999999996586852,3.3571428561676724,1056853.720382708,-1.0233838111162186e-05,2.8843890614204403e-12,optimal,CLARABEL,0.002797902999645885
default + R_min (0.9 C_WF),1,0.0,4809648.443989962,0.9999999992292682,3.3571428549407663,1432661.2395750505,4809648.443989962,1.0,optimal,CLARABEL,0.005696440000065195
default + R_min (0.9 C_WF),2,1432661.2395750505,4423800.447020587,0.843568942345988,2.9101969781313946,1520103.4432593838,254474.03692329675,0.057523850809021934,optimal,CLARABEL,0.002409909999641968
default + R_min (0.9 C_WF),3,1520103.4432593838,4423800.443158374,0.8435689413132974,2.91019697518085,1520103.4434734315,0.0006229206919670105,1.4081120972135805e-10,optimal,CLARABEL,0.0027285569999548898
default + R_min (0.9 C_WF),4,1520103.4434734315,4423800.443846576,0.8435689415251526,2.9101969757861506,1520103.4433937399,-0.00023191794753074646,5.242504730369111e-11,optimal,CLARABEL,0.0031254820000867767
"default, P_max x10",1,0.0,6775237.793102602,3.9999999608088497,11.928571316596715,567984.0119391275,6775237.793102602,1.0,optimal,CLARABEL,0.005310380999617337
"default, P_max x10",2,567984.0119391275,4982300.919101306,1.0958246941878143,3.6309276976794695,1372184.0074880866,2919992.038312422,0.5860729983445324,optimal,CLARABEL,0.0022179170000526938
"default, P_max x10",3,1372184.0074880866,4180096.2333921106,0.7728040226371384,2.708011493248967,1543603.579162433,464206.1702619456,0.1110515510513131,optimal,CLARABEL,0.0024556389998906525
"default, P_max x10",4,1543603.579162433,4061715.990006023,0.7443298534695086,2.6266567241985963,1546344.4281038549,7199.269301997963,0.0017724698919648707,optimal,CLARABEL,0.002933234000010998
"default, P_max x10",5,1546344.4281038549,4059895.9606647487,0.7439175420592616,2.6254786915978907,1546345.0431562476,1.6148069510236382,3.9774589464091516e-07,optimal,CLARABEL,0.00232161099984296
"default, P_max x10",6,1546345.0431562476,4059895.188769982,0.743917367351122,2.6254781924317774,1546345.043151783,-1.1721625924110413e-05,2.8871745153750357e-12,optimal,CLARABEL,0.0029841209998267004
