method,metric,mean,std,median,p05,p95,count,label
uniform,rate_bps,4791652.739934409,196549.91522399915,4808729.944647237,4498805.0510701705,5149228.446217865,100,Uniform
uniform,rate_spectral_efficiency,319.44351599562725,13.10332768159994,320.58199630981574,299.9203367380114,343.2818964145243,100,Uniform
uniform,tx_power_w,1.0,0.0,1.0,1.0,1.0,100,Uniform
uniform,system_power_w,3.3571428571428554,1.785305796991587e-15,3.357142857142857,3.357142857142857,3.357142857142857,100,Uniform
uniform,energy_efficiency_bit_per_j,1427300.8161506748,58546.7832582125,1432387.643086411,1340069.5896804766,1533812.7286606405,100,Uniform
uniform,delay_crb_s2,4.936809265680053e-19,9.678162118246217e-35,4.936809265680052e-19,4.936809265680052e-19,4.936809265680052e-19,100,Uniform
uniform,range_rmse_bound_m,0.10532073506634214,0.0,0.10532073506634214,0.10532073506634214,0.10532073506634214,100,Uniform
uniform,psl_db,-13.256466474732298,5.355917390974761e-15,-13.256466474732292,-13.256466474732292,-13.256466474732292,100,Uniform
uniform,isl_db,-9.684463547443015,0.0,-9.684463547443015,-9.684463547443015,-9.684463547443015,100,Uniform
uniform,solve_time_s,1.600639998287079e-06,2.2246739872958062e-07,1.5675002487114398e-06,1.4153000392980176e-06,1.921050170494709e-06,100,Uniform
water_filling,rate_bps,4811496.626723906,191842.708678527,4830427.745712371,4514403.650719913,5156657.884888445,100,Water-filling (comm. only)
water_filling,rate_spectral_efficiency,320.76644178159376,12.789513911901796,322.0285163808247,300.96024338132753,343.77719232589635,100,Water-filling (comm. only)
water_filling,tx_power_w,1.0000000000000226,5.766870283170729e-13,1.0000000000000715,0.9999999999990632,1.000000000000863,100,Water-filling (comm. only)
water_filling,system_power_w,3.3571428571429225,1.6476806505386718e-12,3.3571428571430615,3.3571428571401807,3.3571428571453232,100,Water-filling (comm. only)
water_filling,energy_efficiency_bit_per_j,1433211.7611517725,57144.63662760257,1438850.8178714188,1344715.9810665522,1536025.752944836,100,Water-filling (comm. only)
water_filling,delay_crb_s2,4.924991386011972e-19,8.880086425312426e-21,4.923756859693523e-19,4.784787463609728e-19,5.079045516840699e-19,100,Water-filling (comm. only)
water_filling,range_rmse_bound_m,0.10519037264609078,0.0009477704340732544,0.10518141442584684,0.10368645203902013,0.10682717773334438,100,Water-filling (comm. only)
water_filling,psl_db,-13.206318480461174,0.6377952794501641,-13.195395621968391,-14.214236014092995,-12.083351530913918,100,Water-filling (comm. only)
water_filling,isl_db,-8.433731218826667,0.7042905291783068,-8.405566042482285,-9.438162766539806,-7.2174215326707065,100,Water-filling (comm. only)
water_filling,solve_time_s,0.0001540878799823986,1.6481961626936087e-05,0.00014764649995413492,0.00013980574988181615,0.0001919582495929717,100,Water-filling (comm. only)
edge_weighted,rate_bps,3985133.554618859,165554.17768363314,3974238.318617334,3746411.3566587893,4253269.613221312,100,Edge-weighted (∝ w_k)
edge_weighted,rate_spectral_efficiency,265.675570307924,11.036945178908875,264.9492212411556,249.76075711058596,283.5513075480875,100,Edge-weighted (∝ w_k)
edge_weighted,tx_power_w,1.0,0.0,1.0,1.0,1.0,100,Edge-weighted (∝ w_k)
edge_weighted,system_power_w,3.3571428571428554,1.785305796991587e-15,3.357142857142857,3.357142857142857,3.357142857142857,100,Edge-weighted (∝ w_k)
edge_weighted,energy_efficiency_bit_per_j,1187061.0588226386,49314.01037384817,1183815.669375376,1115952.319004746,1266931.3741510292,100,Edge-weighted (∝ w_k)
edge_weighted,delay_crb_s2,2.743565119963062e-19,4.839081059123108e-35,2.7435651199630616e-19,2.7435651199630616e-19,2.7435651199630616e-19,100,Edge-weighted (∝ w_k)
edge_weighted,range_rmse_bound_m,0.07851422418531083,1.3947701538996772e-17,0.07851422418531084,0.07851422418531084,0.07851422418531084,100,Edge-weighted (∝ w_k)
edge_weighted,psl_db,-2.5499216263857285,4.463264492478967e-16,-2.549921626385729,-2.549921626385729,-2.549921626385729,100,Edge-weighted (∝ w_k)
