method,status,solver_status,solve_time_s,solver_inaccurate,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,mainlobe_exclusion_s,fim_fraction,gamma_j,psl_constrained,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,validation_grid_isl_db,worst_delay_s,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples
exact_fim,ok,optimal,0.00687140499940142,False,,327.68892129059384,4915333.819358908,0.9999999992639028,3.3571428550397227,1464141.9896624412,76079124850.01434,2.007076756621684e+18,2.007076756621684e+18,2.0067232749620818e+18,4.982370488327522e-19,0.10580561514836828,-12.70796745331763,-9.298746658826284,0.016452841504886226,3.058917150552836e-06,64.0,3660.44770067227,76065726028.6466,76065725972.65485,1.0416666666666667e-06,0.15,7.02727324191209e+17,False,,,,,,,,
exact_fim_psl,ok,optimal,0.44848818599712104,False,,327.67752950320346,4915162.9425480515,0.9999999996922345,3.3571428562635273,1464091.089653119,75378433433.1716,1.9885915090707707e+18,1.9885915090707707e+18,1.9882407983426038e+18,5.028684852764357e-19,0.10629624350908828,-13.147185668751991,-9.562867364310286,0.016757091676071017,2.929705676737812e-06,64.0,3646.072406314373,75365139612.3784,75365139589.18361,1.0416666666666667e-06,0.15,7.02727324191209e+17,True,-13.256466474732292,-13.256466563193127,-13.147185668751991,-9.563372197744853,-1.4973958333333334e-06,-0.10928080598030121,249.0,1985.0
exact_fim,ok,optimal,0.006162017001770437,False,,327.68892134234113,4915333.820135117,0.9999999991623217,3.357142854749491,1464141.9900202304,76079193977.17604,2.0070785802956524e+18,2.0070785802956524e+18,2.0067253697667802e+18,4.982365961240517e-19,0.1058055670797496,-12.708072366791983,-9.298795655659038,0.016451941634534607,3.05856404867649e-06,64.0,3659.0435965503607,76065805440.86447,76065805377.1458,1.0416666666666667e-06,0.2375,1.1126515966360809e+18,False,,,,,,,,
exact_fim_psl,ok,optimal,0.48550474800140364,False,,327.6775295067241,4915162.942600862,0.9999999996665846,3.357142856190242,1464091.0897008104,75378531690.64001,1.9885941012441347e+18,1.9885941012441347e+18,1.9882434139793116e+18,5.028678297770091e-19,0.10629617422939447,-13.14718373386176,-9.562835832057026,0.01675757319253089,2.929729714073331e-06,64.0,3645.950439060358,75365238761.16829,75365238736.04036,1.0416666666666667e-06,0.2375,1.1126515966360809e+18,True,-13.256466474732292,-13.256466570815572,-13.14718373386176,-9.563340616931322,-1.4973958333333334e-06,-0.10928274087053147,249.0,1985.0
exact_fim,ok,optimal,0.006169501997646876,False,,327.68892130205955,4915333.819530893,0.9999999992626801,3.357142855036229,1464141.9897151946,76079770922.7578,2.00709380095006e+18,2.00709380095006e+18,2.0067406328324347e+18,4.982328177819337e-19,0.10580516589445788,-12.707860512335941,-9.29862147704917,0.016452474217264503,3.058510139038008e-06,64.0,3658.823912570358,76066383986.42972,76066383930.34447,1.0416666666666667e-06,0.32499999999999996,1.5225758690809526e+18,False,,,,,,,,
exact_fim_psl,ok,optimal,0.48710221000146703,False,,327.6775295426116,4915162.943139174,0.9999999999034377,3.357142856866965,1464091.0895660312,75378377870.53932,1.9885900432486016e+18,1.9885900432486016e+18,1.9882393814239404e+18,5.028688559490016e-19,0.10629628268542884,-13.147190532684974,-9.562883239727459,0.01675696569401593,2.92971412992617e-06,64.0,3645.8181908108177,75365085887.53758,75365085880.26016,1.0416666666666667e-06,0.32499999999999996,1.5225758690809526e+18,True,-13.256466474732292,-13.256466501755792,-13.147190532684974,-9.563388108300995,-1.4973958333333334e-06,-0.10927594204731861,249.0,1985.0
exact_fim,ok,optimal,0.00644769000064116,False,,327.68892138637557,4915333.820795634,0.9999999996531578,3.3571428561518797,1464141.98960536,76079174545.1142,2.0070780676499067e+18,2.0070780676499067e+18,2.0067248234782515e+18,4.982367233831133e-19,0.10580558059212145,-12.708059363478037,-9.298795505995114,0.0164524256907988,3.0585939222316343e-06,64.0,3659.2178507620497,76065784696.22234,76065784669.83951,1.0416666666666667e-06,0.4125,1.9325001415258248e+18,False,,,,,,,,
exact_fim_psl,ok,optimal,0.4923767399995995,False,,327.6775295016182,4915162.942524273,0.9999999996643365,3.3571428561838186,1464091.089680798,75378251181.6015,1.9885867010121746e+18,1.9885867010121746e+18,1.988235975077796e+18,5.028697011254315e-19,0.10629637201197381,-13.147196827305631,-9.562892090596183,0.01675670959126755,2.929880403080954e-06,64.0,3646.1514492084543,75364956786.51266,75364956761.2154,1.0416666666666667e-06,0.4125,1.9325001415258248e+18,True,-13.256466474732292,-13.256466572235414,-13.147196827305631,-9.563397034782797,-1.4973958333333334e-06,-0.10926964742666101,249.0,1985.0
exact_fim,ok,optimal,0.0067327180004213005,False,,326.3686890239339,4895530.335359008,0.9999999990503117,3.357142854429462,1458243.079796195,88796468685.06204,2.3425785814338227e+18,2.3425785814338227e+18,2.3424244170897044e+18,4.268800235456476e-19,0.09793628437164459,-10.054678259249298,-5.997230786105984,0.02265859866803902,1.0096256532102489e-05,64.0,2417.3678024785345,88790625102.29855,88790625017.97513,1.0416666666666667e-06,0.5,2.3424244139706967e+18,False,,,,,,,,
exact_fim_psl,ok,optimal,0.43110469299790566,False,,324.6491791779816,4869737.687669723,0.9999999994310724,3.35714285551735,1450560.1629869505,88792575269.6348,2.342475867534008e+18,2.342475867534008e+18,2.342424409392894e+18,4.268987415664303e-19,0.0979384315244863,-13.024332239744275,-5.2522751780445995,0.034132372266058406,2.1404089202607547e-05,64.0,1396.618563450724,88790624776.73958,88790624726.22414,1.0416666666666667e-06,0.5,2.3424244139706967e+18,True,-13.256466474732292,-13.256466460907452,-13.024332239744275,-5.2550445256309795,-1.3671875e-06,-0.23213423498801689,249.0,1985.0
