method,status,solver_status,solve_time_s,solver_inaccurate,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,mainlobe_exclusion_s,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,validation_grid_isl_db,worst_delay_s,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,num_psl_soc_constraints,gamma_j
exact_fim_psl,ok,optimal,0.43661702900135424,False,,327.5627418138505,4913441.127207757,0.9999999996755118,3.357142856215748,1463578.2085086203,79921987799.23724,2.108457009345063e+18,2.108457009345063e+18,2.108181971052074e+18,4.74280478837282e-19,0.10323057160172862,-11.796906789817491,-8.223586125696752,0.01815072492061779,3.4846625394498037e-06,64.0,3228.846100817166,79911562378.02823,79911562352.09787,1.0416666666666667e-06,0.0,-12.02976643330594,-11.791415684013478,-8.223845112802335,-1.46484375e-06,11.791415684013478,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.5033914220002771,False,,327.5627418241871,4913441.127362807,0.9999999997096245,3.357142856313213,1463578.2085123148,79921980738.55582,2.1084568230741297e+18,2.1084568230741297e+18,2.1081819710947656e+18,4.742805207374368e-19,0.10323057616166419,-11.796973807932432,-8.22365327582257,0.01815041765948019,3.4842002422941867e-06,64.0,3227.7522895551033,79911562376.92047,79911562353.71611,1.0416666666666667e-06,-1.5,-12.0298404403776,-11.791479977247635,-8.223912222736603,-1.46484375e-06,10.291479977247635,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.4875844570015033,False,,327.5627418174703,4913441.127262054,0.999999999670179,3.357142856200512,1463578.2085314363,79921991444.70471,2.1084571055177388e+18,2.1084571055177388e+18,2.1081819702577882e+18,4.742804572040116e-19,0.10323056924740982,-11.796973621698664,-8.223636628226906,0.01815099719367697,3.484326668372552e-06,64.0,3229.4152284949573,79911562348.34662,79911562321.99011,1.0416666666666667e-06,-3.0,-12.029840246565337,-11.79147978577727,-8.223895584783925,-1.46484375e-06,8.79147978577727,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.4859866199985845,False,,327.562741816932,4913441.127253979,0.9999999996535669,3.3571428561530485,1463578.208549723,79921986139.87502,2.1084569655687002e+18,2.1084569655687002e+18,2.1081819711157455e+18,4.742804886844236e-19,0.10323057267337936,-11.796959791772128,-8.223638417410081,0.01815038849661629,3.4843019075563406e-06,64.0,3228.5887578413776,79911562382.19537,79911562354.51137,1.0416666666666667e-06,-4.5,-12.029825456423353,-11.791466323410686,-8.223897378199757,-1.46484375e-06,7.2914663234106865,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.4474708979978459,False,,327.56274181895685,4913441.127284353,0.9999999996682132,3.357142856194895,1463578.208540527,79921986108.57098,2.108456964742855e+18,2.108456964742855e+18,2.1081819717183857e+18,4.742804888701909e-19,0.10323057269359616,-11.796925580441997,-8.22362770076593,0.018150328149232838,3.484359088993787e-06,64.0,3228.580372196619,79911562403.8683,79911562377.3547,1.0416666666666667e-06,-6.0,-12.02978853990955,-11.791433177546944,-8.22388668140531,-1.46484375e-06,5.791433177546944,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.46591433600042365,False,,327.56274181764707,4913441.127264706,0.9999999996927547,3.3571428562650136,1463578.2085041062,79921989140.4219,2.1084570447274435e+18,2.1084570447274435e+18,2.108181971222501e+18,4.742804708782996e-19,0.10323057073556363,-11.796953305577018,-8.223665795154133,0.018150657968861145,3.4840957297700837e-06,64.0,3229.052781718823,79911562383.11044,79911562358.55798,1.0416666666666667e-06,-7.5,-12.02981864046712,-11.791459980863916,-8.22392476948203,-1.46484375e-06,4.291459980863916,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.5040902749969973,False,,327.5627418196466,4913441.127294699,0.9999999997298888,3.357142856371111,1463578.2084667857,79921994418.50067,2.1084571839707546e+18,2.1084571839707546e+18,2.108181971424937e+18,4.742804395566377e-19,0.10323056732687057,-11.797005110912416,-8.22367351414128,0.018150822462252067,3.484066289546072e-06,64.0,3229.8687701068575,79911562387.81639,79911562366.23138,1.0416666666666667e-06,-9.0,-12.029876243613824,-11.791509495298211,-8.223932460333671,-1.46484375e-06,2.791509495298211,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.5224830400002247,False,,327.56274181900744,4913441.127285112,0.9999999996553752,3.357142856158215,1463578.208556744,79921988030.71417,2.1084570154517573e+18,2.1084570154517573e+18,2.1081819710963848e+18,4.742804774636302e-19,0.103230571452236,-11.796906688489548,-8.223626715730086,0.01815112006836736,3.4843670023045134e-06,64.0,3228.881685704488,79911562381.31699,79911562353.77748,1.0416666666666667e-06,-10.5,-12.02976453366232,-11.79141632316146,-8.22388570049238,-1.46484375e-06,1.2914163231614602,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.5037671609970857,False,,327.5627418328355,4913441.127492533,0.9999999997837282,3.357142856524938,1463578.2084586527,79921991415.67908,2.1084571047520008e+18,2.1084571047520008e+18,2.1081819714703444e+18,4.742804573762582e-19,0.10323056926615518,-11.797029926885958,-8.223668780399596,0.01815041305175616,3.484110731049961e-06,64.0,3229.4036181225133,79911562385.23521,79911562367.95259,1.0416666666666667e-06,-12.0,-12.029905227182818,-11.791532659105306,-8.223927717221592,-1.46484375e-06,-0.20846734089469443,249.0,1985.0,249.0,2.1081819725736271e+18
exact_fim_psl,ok,optimal,0.47849652500008233,False,,327.3491363948364,4910237.045922547,0.9999999996342323,3.3571428560978065,1462623.8013684016,79919413781.29033,2.1083891030487882e+18,2.1083891030487882e+18,2.1081819700889853e+18,4.742957543054898e-19,0.10323223399633277,-13.068869734651278,-8.329363618596936,0.019877607718225852,3.408822575233167e-06,64.0,2802.046698688829,79911562344.82063,79911562315.59157,1.0416666666666667e-06,-13.5,-13.50000000802221,-13.046836441489457,-8.329150591393212,-1.46484375e-06,-0.4531635585105427,249.0,1985.0,249.0,2.1081819725736271e+18
