method,status,solver_status,solve_time_s,solver_inaccurate,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,mainlobe_exclusion_s,label,channel,exclusion,sensing_model,min_sensing_surrogate,sensing_fraction,s_max,min_unknown_fim,gamma_fim_kernel,c_beta,unknown_fim_representation,s0_epsilon_w,fim_fraction,j_max
water_filling,ok,ok,0.0,False,,327.6889214171091,4915333.821256637,1.0000000000001734,3.357142857143353,1464141.9893102713,76079196041.90334,2.0070786347661286e+18,2.0070786347661286e+18,2.0067254018385695e+18,4.982365826023171e-19,0.10580556564401121,-12.70806010536408,-9.298790732650705,0.016452416113279963,3.0585857640229015e-06,64,3659.159611481479,76065806592.82785,76065806592.84103,1.0416666666666667e-06,Water-filling (comm. only),symmetric_rayleigh,1/B,,,,,,,,,,,
linear_sensing,ok,optimal,0.005301028999383561,False,,320.6432295092711,4809648.442639067,0.9999999987491299,3.3571428535689427,1432661.239758082,106548749899.77847,2.8109092972946053e+18,2.8109092972946053e+18,2.810554641235176e+18,3.5575676559982295e-19,0.08940612890813204,-7.623948950543655,-2.2593530231226326,0.0386353710342845,5.189018682874757e-05,64,3666.5233555656987,106535306639.5402,106535306506.27838,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),symmetric_rayleigh,1/B,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,
exact_fim,ok,optimal,0.006864181003038539,False,,320.6411048703548,4809616.573055322,0.9999999987688739,3.357142853625354,1432651.7466665,106550491966.8613,2.810955255530288e+18,2.810955255530288e+18,2.810909287863188e+18,3.5575094908842634e-19,0.08940539802407921,-7.624159068877029,-2.26212529976216,0.03801382266896748,5.179364385894612e-05,64,1320.0093132183938,106548749673.4514,106548749542.27646,1.0416666666666667e-06,Exact unknown-amplitude FIM,symmetric_rayleigh,1/B,unknown_amplitude_exact,,,,2.810909296764836e+18,106548749879.69733,26381438.54281344,quad_over_lin,1e-12,0.6,4.684848827941393e+18
water_filling,ok,ok,0.0,False,,327.6889214171091,4915333.821256637,1.0000000000001734,3.357142857143353,1464141.9893102713,76079196041.90334,2.0070786347661286e+18,2.0070786347661286e+18,2.0067254018385695e+18,4.982365826023171e-19,0.10580556564401121,-18.548627316421143,-12.774247431949895,0.016452416113279963,3.0585857640229015e-06,64,3659.159611481479,76065806592.82785,76065806592.84103,2.0833333333333334e-06,Water-filling (comm. only),symmetric_rayleigh,2/B,,,,,,,,,,,
linear_sensing,ok,optimal,0.004988071999832755,False,,320.6432295092711,4809648.442639067,0.9999999987491299,3.3571428535689427,1432661.239758082,106548749899.77847,2.8109092972946053e+18,2.8109092972946053e+18,2.810554641235176e+18,3.5575676559982295e-19,0.08940612890813204,-11.589836280262347,-5.379866371240553,0.0386353710342845,5.189018682874757e-05,64,3666.5233555656987,106535306639.5402,106535306506.27838,2.0833333333333334e-06,Linear S(P) (known-amp. surrogate),symmetric_rayleigh,2/B,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,
exact_fim,ok,optimal,0.006124042000010377,False,,320.6411048703548,4809616.573055322,0.9999999987688739,3.357142853625354,1432651.7466665,106550491966.8613,2.810955255530288e+18,2.810955255530288e+18,2.810909287863188e+18,3.5575094908842634e-19,0.08940539802407921,-11.59008975565235,-5.384104327751922,0.03801382266896748,5.179364385894612e-05,64,1320.0093132183938,106548749673.4514,106548749542.27646,2.0833333333333334e-06,Exact unknown-amplitude FIM,symmetric_rayleigh,2/B,unknown_amplitude_exact,,,,2.810909296764836e+18,106548749879.69733,26381438.54281344,quad_over_lin,1e-12,0.6,4.684848827941393e+18
water_filling,ok,ok,0.0,False,,281.85832709744994,4227874.906461749,1.0000000000009424,3.3571428571455497,1259366.993413128,68006190200.49548,1.794101127305253e+18,1.794101127305253e+18,1.7053023197280998e+18,5.573821814057962e-19,0.11190957533585806,-14.967015195186484,-8.046045924339417,0.019265224111561233,3.542985376255295e-05,58,-58016.874719245134,64640232448.24281,64640232448.30373,1.0416666666666667e-06,Water-filling (comm. only),asymmetric_tilt,1/B,,,,,,,,,,,
linear_sensing,ok,optimal,0.005425496001407737,False,,272.9885896122288,4094828.844183432,0.9999999992877122,3.3571428551077496,1219736.2521983015,106548749943.51514,2.8109092984484413e+18,2.8109092984484413e+18,2.676757144573574e+18,3.557567654537902e-19,0.08940612888978212,-8.238504152674535,-1.0682156963286484,0.05587157871842416,0.00010268988747801121,64,-71309.8607568322,101463653778.24971,101463653705.9784,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),asymmetric_tilt,1/B,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,
exact_fim,ok,optimal,0.007016602998191956,False,,272.3933038638884,4085899.557958326,0.9999999998211433,3.357142856631838,1217076.4642579544,106951679142.84079,2.8215391503575557e+18,2.8215391503575557e+18,2.8109092974767954e+18,3.544164892673123e-19,0.08923755587737692,-8.266307929323203,-0.8113255312676636,0.06001768118775441,9.709266104793252e-05,64,-20073.097325235347,106548749925.74144,106548749906.68448,1.0416666666666667e-06,Exact unknown-amplitude FIM,asymmetric_tilt,1/B,unknown_amplitude_exact,,,,2.810909296764836e+18,106548749879.69733,26381438.54281344,quad_over_lin,1e-12,0.6,4.684848827941393e+18
water_filling,ok,ok,0.0,False,,281.85832709744994,4227874.906461749,1.0000000000009424,3.3571428571455497,1259366.993413128,68006190200.49548,1.794101127305253e+18,1.794101127305253e+18,1.7053023197280998e+18,5.573821814057962e-19,0.11190957533585806,-18.09889747060036,-9.364475374753479,0.019265224111561233,3.542985376255295e-05,58,-58016.874719245134,64640232448.24281,64640232448.30373,2.0833333333333334e-06,Water-filling (comm. only),asymmetric_tilt,2/B,,,,,,,,,,,
