method,status,solver_status,solve_time_s,solver_inaccurate,error,rate_spectral_efficiency,rate_bps,tx_power_w,system_power_w,energy_efficiency_bit_per_j,sensing_surrogate,delay_fim_per_s2,delay_fim_known_amplitude_per_s2,delay_fim_unknown_amplitude_per_s2,delay_crb_s2,range_rmse_bound_m,psl_db,isl_db,peak_power_w,power_variance_w2,num_active_subcarriers,spectral_centroid_hz,power_weighted_spectral_variance_hz2,unknown_amplitude_kernel_w_hz2,mainlobe_exclusion_s,label,channel_kind,realization,psl_max_db_request,validation_psl_violation,sensing_model,min_sensing_surrogate,sensing_fraction,s_max,min_unknown_fim,gamma_fim_kernel,c_beta,unknown_fim_representation,s0_epsilon_w,fim_fraction,j_max,requested_psl_max_db,optimization_grid_psl_db,validation_grid_psl_db,validation_grid_isl_db,worst_delay_s,violation_margin_db,optimization_grid_sidelobe_samples,validation_grid_sidelobe_samples,psl_max_db,psl_rho,num_psl_soc_constraints,psl_mainlobe_exclusion_s
water_filling,ok,ok,0.0,False,,327.6889214171091,4915333.821256637,1.0000000000001734,3.357142857143353,1464141.9893102713,76079196041.90334,2.0070786347661286e+18,2.0070786347661286e+18,2.0067254018385695e+18,4.982365826023171e-19,0.10580556564401121,-12.70806010536408,-9.298790732650705,0.016452416113279963,3.0585857640229015e-06,64,3659.159611481479,76065806592.82785,76065806592.84103,1.0416666666666667e-06,Water-filling (comm. only),ordinary,0,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.005202979999012314,False,,320.6432295092711,4809648.442639067,0.9999999987491299,3.3571428535689427,1432661.239758082,106548749899.77847,2.8109092972946053e+18,2.8109092972946053e+18,2.810554641235176e+18,3.5575676559982295e-19,0.08940612890813204,-7.623948950543655,-2.2593530231226326,0.0386353710342845,5.189018682874757e-05,64,3666.5233555656987,106535306639.5402,106535306506.27838,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,0,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.007182148998253979,False,,327.5627417169388,4913441.125754082,0.9999999991583824,3.357142854738236,1463578.208719746,79921990772.16783,2.1084570877752484e+18,2.1084570877752484e+18,2.1081819717155264e+18,4.74280461195042e-19,0.10323056968174814,-11.797014698441643,-8.223634448104452,0.018150615616822546,3.484362969234987e-06,64,3229.3025454873914,79911562444.5013,79911562377.24632,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,0,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.43916103100127657,False,,327.4097462002716,4911146.1930040745,0.9999999996298694,3.3571428560853414,1462894.6111428835,79919760688.80508,2.108398254968069e+18,2.108398254968069e+18,2.1081819697407967e+18,4.742936955310393e-19,0.10323200994613359,-12.871637762651426,-8.3351722958185,0.019607633295965994,3.2560902246676493e-06,64,2863.282454596839,79911562331.97102,79911562302.39331,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,0,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256466487273782,-12.840962655345646,-8.335003980434777,-1.46484375e-06,-0.4155038193866467,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,295.1789974345945,4427684.961518918,1.0000000000003006,3.3571428571437165,1318884.8821542338,78809554410.78143,2.079109416274542e+18,2.079109416274542e+18,2.0789495709667796e+18,4.809751676233821e-19,0.10395659223268666,-12.660432115821918,-7.665222139616835,0.017362090361979554,1.0261541413080935e-05,63,2461.504927024506,78803495404.25197,78803495404.27567,1.0416666666666667e-06,Water-filling (comm. only),ordinary,1,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.005618608000077074,False,,289.7873260927189,4346809.891390784,0.9999999993660219,3.3571428553314915,1294794.4364320387,106548749952.09723,2.8109092986748493e+18,2.8109092986748493e+18,2.810610559210813e+18,3.5575676542513533e-19,0.08940612888618146,-7.679473165502577,-2.045932161149679,0.037549835259551224,5.743670768889504e-05,64,3365.0929305846157,106537426169.21533,106537426101.67294,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,1,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
exact_fim,ok,optimal,0.006654616001469549,False,,295.1693603665178,4427540.405497767,0.9999999993978406,3.357142855422402,1318841.8235901033,79917327682.10791,2.108334068751413e+18,2.108334068751413e+18,2.1081819825721933e+18,4.743081349495125e-19,0.10323358133413707,-12.380436189906046,-7.412210712603617,0.017730502442381006,1.0489275406989983e-05,64,2401.0192290650357,79911562836.89255,79911562788.77304,1.0416666666666667e-06,Exact unknown-amplitude FIM,ordinary,1,-13.256466474732292,False,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,,,,,,,,,,,,
exact_fim_psl,ok,optimal,0.46988239100028295,False,,295.1408403055936,4427112.604583904,0.9999999997780533,3.357142856508724,1318714.393103873,79916317227.12383,2.10830741149535e+18,2.10830741149535e+18,2.108181971921931e+18,4.743141320604353e-19,0.10323423397029871,-12.86860565355661,-7.442859461552381,0.018350420194927965,1.0484773906698593e-05,64,2180.560032356964,79911562402.80627,79911562385.07018,1.0416666666666667e-06,Exact FIM + sampled PSL,ordinary,1,-13.256466474732292,True,unknown_amplitude_exact,,,,2.1081819725736271e+18,79911562409.77301,26381438.54281344,quad_over_lin,1e-12,0.45,4.684848827941393e+18,-13.256466474732292,-13.256466501635348,-12.838773335257414,-7.442790670788217,-1.46484375e-06,-0.41769313947487774,249.0,1985.0,-13.256466474732292,0.2173585239870126,249.0,1.0416666666666667e-06
water_filling,ok,ok,0.0,False,,314.0993813703661,4711490.720555491,0.9999999999998943,3.3571428571425552,1403422.767825166,77380310414.62512,2.0414039036272594e+18,2.0414039036272594e+18,2.0412433373099748e+18,4.8985896334535e-19,0.10491225859703934,-12.653603957689183,-8.379284577041325,0.016868963819284485,7.041024859704783e-06,63,-2467.050199726737,77374224077.94533,77374224077.93715,1.0416666666666667e-06,Water-filling (comm. only),ordinary,2,-13.256466474732292,False,,,,,,,,,,,,,,,,,,,,,,,
linear_sensing,ok,optimal,0.005554055998800322,False,,307.7418817518957,4616128.226278435,0.9999999990518249,3.3571428544337856,1375016.919575497,106548749926.63774,2.8109092980031913e+18,2.8109092980031913e+18,2.810743051338986e+18,3.5575676551014227e-19,0.08940612889686311,-7.736347442274853,-2.110518915047312,0.038230649298708216,5.5742533092949934e-05,64,-2510.309290827317,106542448374.92899,106542448273.9081,1.0416666666666667e-06,Linear S(P) (known-amp. surrogate),ordinary,2,-13.256466474732292,False,known_amplitude_linear,106548750000.0,0.6,177581250000.0,,,,,,,,,,,,,,,,,,,
